Bid_Number,Contract_Number,Contract_Description,Start_Date,End_Date,Contract_Type,Vendor_Name,Department_Name,Max_Value,Total_Contract_Months,Remaining_Contract_Months,SumOfTransactionAmt
00009408,120355,TRANSAMERICAN OFFICE FURNITURE INC      Bid # 00009408,20120618,20150430,,TRANSAMERICAN OFFICE FURNITURE INC      ,SS&E,"$2,000,000.00",  ,,"$117,559.13"
00009413,130122,HUMANSCALE CORP                         Bid # 00009413,20120919,20150430,,HUMANSCALE CORP                         ,SS&E,"$450,000.00",  ,,"$75,468.70"
00009635,120356,TRANSAMERICAN OFFICE FURNITURE INC      Bid # 00009635,20120618,20150531,,TRANSAMERICAN OFFICE FURNITURE INC      ,SS&E,"$2,728,000.00",  ,,"$210,030.72"
00011350,140292,U S MUNICIPAL SUPPLY CO                 Bid # 00011350,20140505,20150531,,U S MUNICIPAL SUPPLY CO                 ,SS&E,"$1,000,000.00",18,,
00011357,140300,BANDIT INDUSTRIES INC                   Bid # 00011357,20140521,20150531,,BANDIT INDUSTRIES INC                   ,SS&E,"$200,000.00",  ,,
00011413,140301,ALTEC INDUSTRIES INC                    Bid # 00011413,20140521,20150531,,ALTEC INDUSTRIES INC                    ,SS&E,"$800,000.00",  ,,
00011420,140289,CLEVELAND BROTHERS EQUIPMENT CO         Bid # 00011420,20140422,20150422,,CLEVELAND BROTHERS EQUIPMENT CO         ,SS&E,"$400,000.00",36,,
00011426,140302,EAGLE POWER & EQUIPMENT CORP            Bid # 00011426,20140521,20150531,,EAGLE POWER & EQUIPMENT CORP            ,SS&E,"$332,000.00",  ,,
00011431,140290,GROFF TRACTOR & EQUIPMENT INC           Bid # 00011431,20140422,20150422,,GROFF TRACTOR & EQUIPMENT INC           ,SS&E,"$1,000,000.00",36,,
00011459,140291,U S MUNICIPAL SUPPLY CO                 Bid # 00011459,20140422,20150422,,U S MUNICIPAL SUPPLY CO                 ,SS&E,"$2,000,000.00",36,,
000358-1,130181,EN POINTE TECHNOLOGIES                  Bid # 000358-1,20130101,20150602,,EN POINTE TECHNOLOGIES                  ,SS&E,"$1,000,000.00",36,,"$97,678.08"
000358-2,130089,INSIGHT PUBLIC SECTOR INC               Bid # 000358-2,20120920,20150602,,INSIGHT PUBLIC SECTOR INC               ,SS&E,"$1,500,000.00",36,,"$30,085.69"
000358-3,130180,S H I INTERNATIONAL CORP                Bid # 000358-3,20130101,20150602,,S H I INTERNATIONAL CORP                ,SS&E,"$2,463,769.00",36,,"$411,771.16"
031210NJ,120152,STAPLES CONTRACT & COMMERCIAL INC       Bid # 031210NJ,20110701,20150531,,STAPLES CONTRACT & COMMERCIAL INC       ,SS&E,"$5,940,000.00",24,,"$224,974.09"
10402225,140163,GRAYBAR ELECTRIC CO INC                 Bid # 10402225,20131008,20141231,,GRAYBAR ELECTRIC CO INC                 ,SS&E,"$908,000.00",  ,,"$154,105.47"
111309CD,140193,C D W GOVERNMENT INC                    Bid # 111309CD,20131201,20141215,,C D W GOVERNMENT INC                    ,SS&E,"$500,000.00",  ,,"$221,318.80"
2004,134068,"Concrete Repairs of Intake Structure & Chemical Blding @ Baxter WTP, 9001 State Rd., Phila PA",20130215,,PW,C & T ASSOCIATES INCORPORATED,WATER,"$5,227,100.00",,,1199095.25
2009,144089,Diversion of Area Storm Drains from Effluent Outfall Conduit at NE Water Pollution Control Plant,20140314,,PW,CARUSONE CONSTRUCTION INC,WATER,"$1,820,000.00",,,573131.46
2011,134123,"New Pervious  Paving  For Parking Lot at SouthWest Treatment Plant, Phila PA (Federally Funded)",20130719,,PW,TONY DEPAUL AND SON,WATER,"$788,550.00",,,33288.4
2012,144040,"Butterfly Valve Replace&Structural Modifications@Torresdale Pumping St., Phila PA",20131203,,PW,C & H INDUSTRIAL SERVICES INC,WATER,"$2,384,400.00",,,144504
2013,144047,New Secondary Treatment Bypass Conduit at NEWPCP,20131212,,PW,CARUSONE CONSTRUCTION INC,WATER,"$15,894,000.00",,,427902.3
2014,134128,"Rehab Raw Water Basin Dividing Dike and Pier 264 North @ Baxter Water Treatment Plant, Phila PA",20130726,,PW,A P CONSTRUCTION COMPANY,WATER,"$4,536,700.00",,,149350.5
2015,134122,"5KV Switchgear Replace and Backup Generator @ Fox Chase Booster  Plumping Station 400 Lardner St, (Larder/Oakley) Phila. PA",20130719,,PW,PHILIPS BROTHERS ELECTRICAL CONTRACTORS,WATER,"$1,279,425.00",,,278891.78
2020,144062,"Replace of Channel Aeration Sys @ SouthWest Plant, 8200 Enterprise Ave,",20131126,,PW,SPECTRASERV INCORPORATED,WATER,"$2,086,350.00",,,1026675.31
