original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,amt,tot_payments,orig_vendor
MPXX14000139,MPXX14000139,City Controllers Office,Albert Scaperotto,Miscellaneous Order,Quality Control Audit Rvw,2013-07-26T09:33:54Z,2014-06-30T00:00:00Z,273,19250,1100,Albert Scaperotto
MPXX14000140,MPXX14000140,City Controllers Office,Carole Buncher & Associates,Miscellaneous Order,Training for Auditors,2013-07-26T09:50:08Z,2014-06-30T00:00:00Z,273,12400,12400,Carole Buncher & Associates
MPXX14000141,MPXX14000141,City Controllers Office,"Ceisler Media & Issue Advocacy, LLC",Miscellaneous Order,Media Consultant,2013-07-26T10:02:18Z,2014-06-30T00:00:00Z,273,30000,5000,"Ceisler Media & Issue Advocacy, LLC"
1320756,1320756,City Controllers Office,CliftonLarsonAllen LLP,Accounting and Auditing Svcs,I T Gen Control Review,2013-05-22T00:00:00Z,2014-05-21T00:00:00Z,233,40750,0,CliftonLarsonAllen LLP
MPXX14000167,MPXX14000167,City Controllers Office,"EConsult Solutions, Inc",Miscellaneous Order,Analysis Anchor Procurmnt,2013-08-09T11:41:22Z,2014-06-30T00:00:00Z,273,15000,0,"EConsult Solutions, Inc"
MPXX14000142,MPXX14000142,City Controllers Office,"Fesnak & Associates, LLP",Miscellaneous Order,Consulting Services,2013-07-26T10:19:41Z,2014-06-30T00:00:00Z,273,27200,2550,"Fesnak & Associates, LLP"
1020669,102066904,City Controllers Office,WithumSmith+Brown,Accounting and Auditing Svcs,Single City Audit,2013-03-28T00:00:00Z,2014-03-27T00:00:00Z,178,109784,88494.4,WithumSmith+Brown
1120409,112040903,City Council,Bolton Partners,General Consultant Services,pension consulting svs,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,92,110000,37935.54,Bolton Partners
1320528,132052801,City Council,ECONSULT CORPORATION,General Consultant Services,avi consulting services,2012-09-04T00:00:00Z,2013-09-03T00:00:00Z,0,105000,85872.63,ECONSULT CORPORATION
MPXX14000121,MPXX14000121,City Council,Eric Auerbach,Miscellaneous Order,legislative drafting,2013-07-16T15:24:11Z,2014-06-30T00:00:00Z,273,30000,5340,Eric Auerbach
1320689,1320689,City Council,Kimmel Group Inc.,General Consultant Services,desktop and email support,2013-04-01T00:00:00Z,2014-03-31T00:00:00Z,182,175000,50220,Kimmel Group Inc.
1220535,122053501,City Council,"WURD Radio, LLC fka LEVAS Communications, LLC",General Consultant Services,broadcast of sessions,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,92,60000,60000,"WURD Radio, LLC fka LEVAS Communications, LLC"
