original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,amt,tot_payments,orig_vendor,exempt_status,adv_or_exempt,profit_status
1520399,152039901,CITY CONTROLLERS OFFICE,CCH Inc,Computer and Information Svcs,Additional User,3/31/2016,3/30/2017,180,"75,572.05","72,419.58",CCH Inc,01,ADVERTISED,For Profit
MPXX17000133,MPXX17000133,CITY CONTROLLERS OFFICE,Carole Buncher & Associates,Miscellaneous Order,Two day Audit Training,8/8/2016,6/30/2017,272,"7,500.00",0.00,Carole Buncher & Associates,102,EXEMPT,For Profit
1620251,1620251,CITY CONTROLLERS OFFICE,CliftonLarsonAllen LLP,Accounting and Auditing Svcs,Technical Consultant,11/16/2015,11/15/2016,45,"28,500.00","8,340.00",CliftonLarsonAllen LLP,01,ADVERTISED,For Profit
MPXX17000161,MPXX17000161,CITY CONTROLLERS OFFICE,James J. McNichol,Miscellaneous Order,Audit Control Reviews,8/25/2016,6/30/2017,272,"31,875.00",0.00,James J. McNichol,102,EXEMPT,For Profit
1620468,1620468,CITY CONTROLLERS OFFICE,"Mitchell & Titus, LLP",Accounting and Auditing Svcs,Peer Review Audit,6/6/2016,6/5/2017,247,"50,000.00",0.00,"Mitchell & Titus, LLP",01,ADVERTISED,For Profit
MPXX17000179,MPXX17000179,CITY COUNCIL,Aaron Finestone,Miscellaneous Order,addressing zoning matters,8/23/2016,6/30/2017,272,"25,000.00",0.00,Aaron Finestone,102,EXEMPT,For Profit
MPXX17000102,MPXX17000102,CITY COUNCIL,Eric Auerbach,Miscellaneous Order,legislative drafting,7/1/2016,6/30/2017,272,"32,000.00",0.00,Eric Auerbach,102,EXEMPT,For Profit
1320781,132078103,CITY COUNCIL,"Granicus, Inc.",Computer and Information Svcs,Legislative software,6/30/2016,6/29/2017,271,"40,000.00","26,821.32","Granicus, Inc.",01,ADVERTISED,For Profit
MPXX17000199,MPXX17000199,CITY COUNCIL,Keel Communications & Government Relations LLC,Miscellaneous Order,communication services,7/1/2016,6/30/2017,272,"30,000.00",0.00,Keel Communications & Government Relations LLC,102,EXEMPT,For Profit
1320689,132068904,CITY COUNCIL,Kimmel Group Inc.,General Consultant Services,desktop support,4/1/2016,3/31/2017,181,"175,000.00","13,240.00",Kimmel Group Inc.,01,ADVERTISED,For Profit
1220535,122053504,CITY COUNCIL,"WURD Radio, LLC fka LEVAS Communications, LLC",General Consultant Services,broadcast of council mtgs,1/1/2016,12/31/2016,91,"60,000.00",0.00,"WURD Radio, LLC fka LEVAS Communications, LLC",01,ADVERTISED,For Profit
1620151,1620151,CITY PLANNING,Fund For Philadelphia Inc,General Consultant Services,Choice Neighborhood Outre,8/24/2015,8/23/2016,0,"75,000.00","75,000.00",Fund For Philadelphia Inc,08,EXEMPT,Non Profit
1620159,1620159,CITY PLANNING,"Whitman, Requardt and Associates, LLP",Architect and Engineer Svcs,Mantua Grnwy Fin Design,10/5/2015,10/4/2016,3,"395,492.55","186,162.68","Whitman, Requardt and Associates, LLP",01,ADVERTISED,For Profit
1320648,132064803,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Bond Counsel PGW & Water,1/1/2016,12/31/2016,91,0.00,0.00,ANDRE C DASENT P C,01,ADVERTISED,For Profit
1520338,152033801,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Bond Counsel - Airport,8/1/2015,7/31/2016,0,"20,000.00",0.00,ANDRE C DASENT P C,01,ADVERTISED,For Profit
1520338,152033802,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Counsel - Airport,8/1/2016,7/31/2017,303,"20,000.00",0.00,ANDRE C DASENT P C,01,ADVERTISED,For Profit
1320338,132033803,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,Financial Advisor GO-OTB,8/1/2015,7/31/2016,0,0.00,0.00,"Acacia Financial Group, Inc.",01,ADVERTISED,For Profit
1620362,1620362,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,Water Financial Advisor,1/1/2016,12/31/2016,91,"50,000.00",0.00,"Acacia Financial Group, Inc.",01,ADVERTISED,For Profit
1320649,132064903,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,BC Water,1/1/2016,12/31/2016,91,0.00,0.00,Law Offices of Denise Joy Smyler,01,ADVERTISED,For Profit
1520434,152043401,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Bond & Disclosure Counsel,12/15/2015,12/14/2016,74,0.00,0.00,Ahmad Zaffarese LLC,01,ADVERTISED,For Profit
1620441,1620441,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Legal Services - TRAN,6/1/2016,5/31/2017,242,0.00,0.00,Ahmad Zaffarese LLC,01,ADVERTISED,For Profit
1520439,152043901,CITY TREASURER,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",Legal Services,GF Disclosure Counsel,12/15/2015,12/14/2016,74,0.00,0.00,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",01,ADVERTISED,For Profit
