original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,amt,tot_payments,orig_vendor,exempt_status,adv_or_exempt,profit_status
MPXX18000094,MPXX18000094,CITY CONTROLLERS OFFICE,Becker Professional Development Corporation,Miscellaneous Order,CPA Exam Review,7/18/2017,6/30/2018,0,20000,3491.24,Becker Professional Development Corporation,102,EXEMPT,For Profit
MPXX18000195,MPXX18000195,CITY CONTROLLERS OFFICE,Becker Professional Development Corporation,Miscellaneous Order,Prof Ed Audit Seminar,9/6/2017,6/30/2018,0,17300,17021.55,Becker Professional Development Corporation,102,EXEMPT,For Profit
MPXX18000350,MPXX18000350,CITY CONTROLLERS OFFICE,Becker Professional Development Corporation,Miscellaneous Order,Self-Study & CPE Tracking,4/19/2018,6/30/2018,0,7920,0,Becker Professional Development Corporation,102,EXEMPT,For Profit
MPXX18000069,MPXX18000069,CITY CONTROLLERS OFFICE,CliftonLarsonAllen LLP,Miscellaneous Order,Tech Consult Srvcs.,7/1/2017,6/30/2018,0,29250,20930,CliftonLarsonAllen LLP,102,EXEMPT,For Profit
MPXX18000122,MPXX18000122,CITY CONTROLLERS OFFICE,James J. McNichol,Miscellaneous Order,Consulting Svrc Fraud/Inv,7/31/2017,6/30/2018,0,10000,3400,James J. McNichol,102,EXEMPT,For Profit
MPXX18000156,MPXX18000156,CITY CONTROLLERS OFFICE,James J. McNichol,Miscellaneous Order,Independant Audit Review,8/10/2017,6/30/2018,0,32000,30550,James J. McNichol,102,EXEMPT,For Profit
1720457,172045701,CITY CONTROLLERS OFFICE,LHV Financial Advisors,General Consultant Services,Financial Advisor,10/30/2017,10/29/2018,120,50000,31875,LHV Financial Advisors,1,ADVERTISED,For Profit
MPXX18000334,MPXX18000334,CITY CONTROLLERS OFFICE,"Mercadien P.C., CPA's",Miscellaneous Order,Audit of Controllers Ofc,3/20/2018,6/30/2018,0,31844,31842,"Mercadien P.C., CPA's",102,EXEMPT,For Profit
MPXX18000311,MPXX18000311,CITY CONTROLLERS OFFICE,"Mitchell & Titus, LLP",Miscellaneous Order,Quality Control Audit,2/13/2018,6/30/2018,0,25000,0,"Mitchell & Titus, LLP",102,EXEMPT,For Profit
MPXX18000368,MPXX18000368,CITY CONTROLLERS OFFICE,ROI Marketing Management Inc.,Miscellaneous Order,Conduct One-Day Training,5/7/2018,6/30/2018,0,4500,0,ROI Marketing Management Inc.,102,EXEMPT,For Profit
MPXX18000329,MPXX18000329,CITY CONTROLLERS OFFICE,YIKES INC,Miscellaneous Order,Website Design Services,3/12/2018,6/30/2018,0,31528,12740,YIKES INC,102,EXEMPT,For Profit
MPXX18000167,MPXX18000167,CITY COUNCIL,"Deaf Hearing Communication Centre, Inc",Miscellaneous Order,interpretation services,7/1/2017,6/30/2018,0,32000,22520.18,"Deaf Hearing Communication Centre, Inc",102,EXEMPT,Non Profit
MPXX18000331,MPXX18000331,CITY COUNCIL,"EConsult Solutions, Inc",Miscellaneous Order,consulting services,3/13/2018,6/30/2018,0,32000,0,"EConsult Solutions, Inc",102,EXEMPT,For Profit
MPXX18000192,MPXX18000192,CITY COUNCIL,"ESRI, Inc.",Miscellaneous Order,GIS services,8/31/2017,6/30/2018,0,13300,8760,"ESRI, Inc.",102,EXEMPT,For Profit
MPXX18000089,MPXX18000089,CITY COUNCIL,Eric Auerbach,Miscellaneous Order,consulting services,8/1/2017,6/30/2018,0,32000,27500,Eric Auerbach,102,EXEMPT,For Profit
1320781,132078106,CITY COUNCIL,"Granicus, Inc.",Computer and Information Svcs,legislative software,4/1/2018,4/30/2018,0,5000,0,"Granicus, Inc.",1,ADVERTISED,For Profit
MPXX18000211,MPXX18000211,CITY COUNCIL,"Gross Communications, LLC",Miscellaneous Order,communications,9/1/2017,6/30/2018,0,27500,24750,"Gross Communications, LLC",102,EXEMPT,For Profit
1820538,1820538,CITY COUNCIL,"HR&A Advisors, Inc",General Consultant Services,poverty reduction RFP,2/22/2018,2/21/2019,235,75000,0,"HR&A Advisors, Inc",1,ADVERTISED,For Profit
1820442,1820442,CITY COUNCIL,"Hill International, Inc.",General Consultant Services,Project Manager,1/2/2018,1/1/2019,184,400000,0,"Hill International, Inc.",1,ADVERTISED,For Profit
MPXX18000172,MPXX18000172,CITY COUNCIL,Keel Communications & Government Relations LLC,Miscellaneous Order,communication services,7/1/2017,6/30/2018,0,30000,30000,Keel Communications & Government Relations LLC,102,EXEMPT,For Profit
1820224,1820224,CITY COUNCIL,Kimmel Group Inc.,General Consultant Services,desktop support,9/5/2017,6/30/2018,0,206000,152548.75,Kimmel Group Inc.,1,ADVERTISED,For Profit
MPXX18000312,MPXX18000312,CITY COUNCIL,"Marie Amey-Taylor, Ed. D.",Miscellaneous Order,communications training,12/12/2017,6/30/2018,0,4500,4500,"Marie Amey-Taylor, Ed. D.",102,EXEMPT,For Profit
MPXX18000319,MPXX18000319,CITY COUNCIL,"Reinvestment Fund, Inc.",Miscellaneous Order,consulting services,2/21/2018,6/30/2018,0,32000,0,"Reinvestment Fund, Inc.",102,EXEMPT,Non Profit
MPXX18000314,MPXX18000314,CITY COUNCIL,Sarah Halley,Miscellaneous Order,communications training,12/13/2017,6/30/2018,0,4500,4500,Sarah Halley,102,EXEMPT,For Profit
MPXX18000332,MPXX18000332,CITY COUNCIL,Temple University,Miscellaneous Order,consulting services,3/13/2018,6/30/2018,0,32000,0,Temple University,102,EXEMPT,Non Profit
MPXX18000104,MPXX18000104,CITY COUNCIL,Triad Strategies LLC,Miscellaneous Order,state lobbying services,7/1/2017,6/30/2018,0,22500,22500,Triad Strategies LLC,102,EXEMPT,For Profit
1820093,1820093,CITY COUNCIL,"WURD Radio, LLC fka LEVAS Communications, LLC",General Consultant Services,live radio broadcasts,8/1/2017,7/31/2018,30,70000,70000,"WURD Radio, LLC fka LEVAS Communications, LLC",1,ADVERTISED,For Profit
1820461,1820461,CITY REPRESENTATIVE,Greater Philadelphia Film Office Inc.,General Consultant Services,promotion of film industr,7/1/2017,6/30/2018,0,153604,153604,Greater Philadelphia Film Office Inc.,8,EXEMPT,Non Profit
1820460,1820460,CITY REPRESENTATIVE,Historic Philadelphia Inc.,General Consultant Services,Historic distr promotion,7/1/2017,6/30/2018,0,190452,190452,Historic Philadelphia Inc.,8,EXEMPT,Non Profit
MPXX18000101,MPXX18000101,CITY TREASURER,AMTEC,Miscellaneous Order,Verification Agent,7/1/2017,6/30/2018,0,1,0,AMTEC,102,EXEMPT,For Profit
1520338,152033803,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Bond Counsel - Airport,8/1/2017,7/31/2018,30,20000,0,ANDRE C DASENT P C,1,ADVERTISED,For Profit
1720649,172064901,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Bond Counsel - Water/PGW,1/1/2018,12/31/2018,183,0,0,ANDRE C DASENT P C,1,ADVERTISED,For Profit
1620362,162036202,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,Water FA,1/1/2018,12/31/2018,183,50000,0,"Acacia Financial Group, Inc.",1,ADVERTISED,For Profit
1720201,172020101,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,Municipal Advisor - GO,8/1/2017,7/31/2018,30,0,0,"Acacia Financial Group, Inc.",1,ADVERTISED,For Profit
1520434,152043403,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Bond & Disclosure Counsel,12/15/2017,12/14/2018,166,0,0,Ahmad Zaffarese LLC,1,ADVERTISED,For Profit
1620441,162044101,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Legal Services - TRAN,6/1/2017,5/31/2018,0,0,0,Ahmad Zaffarese LLC,1,ADVERTISED,For Profit
1620441,162044102,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Legal Services - TRAN,6/1/2018,5/31/2019,334,0,0,Ahmad Zaffarese LLC,1,ADVERTISED,For Profit
1720658,172065802,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,BC Water and DC PGW,1/1/2018,12/31/2018,183,0,0,Ahmad Zaffarese LLC,1,ADVERTISED,For Profit
1520439,152043903,CITY TREASURER,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",Legal Services,GF Disclosure Counsel,12/15/2017,12/14/2018,166,0,0,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",1,ADVERTISED,For Profit
1520435,152043503,CITY TREASURER,Ballard Spahr LLP,Legal Services,Bond/Disclosure Counsel,12/15/2017,12/14/2018,166,0,0,Ballard Spahr LLP,1,ADVERTISED,For Profit
1720643,172064301,CITY TREASURER,Ballard Spahr LLP,Legal Services,Bond Counsel Water,1/1/2018,12/31/2018,183,200000,0,Ballard Spahr LLP,1,ADVERTISED,For Profit
1520302,152030203,CITY TREASURER,"BlackRock Capital Management, Inc.",Investment Advisor-Manager,Investment Manager,1/1/2018,12/31/2018,183,0,0,"BlackRock Capital Management, Inc.",1,ADVERTISED,For Profit
1820003,1820003,CITY TREASURER,Citizens Bank of Pennsylvania,General Consultant Services,Payroll Banking Services,7/1/2017,6/30/2018,0,0,0,Citizens Bank of Pennsylvania,1,ADVERTISED,For Profit
1820267,1820267,CITY TREASURER,Citizens Bank of Pennsylvania,General Consultant Services,Pension Banking Services,9/1/2017,8/31/2018,61,0,0,Citizens Bank of Pennsylvania,1,ADVERTISED,For Profit
1520438,152043803,CITY TREASURER,Cozen O'Connor,Legal Services,GO BC/DC,12/15/2017,12/14/2018,166,0,0,Cozen O'Connor,1,ADVERTISED,For Profit
1720683,172068301,CITY TREASURER,Cozen O'Connor,Legal Services,DC - Water & PGW,1/1/2018,12/31/2018,183,0,0,Cozen O'Connor,1,ADVERTISED,For Profit
1520492,152049203,CITY TREASURER,Digital Assurance Certification,General Consultant Services,Dissemination Agent,1/1/2018,12/31/2018,183,16000,7000,Digital Assurance Certification,1,ADVERTISED,For Profit
1520341,152034103,CITY TREASURER,Dilworth Paxson LLP,Legal Services,Bond Counsel - Airport,8/1/2017,7/31/2018,30,15000,0,Dilworth Paxson LLP,1,ADVERTISED,For Profit
1620440,162044001,CITY TREASURER,Dilworth Paxson LLP,Legal Services,Legal Services - TRAN,6/1/2017,5/31/2018,0,0,0,Dilworth Paxson LLP,1,ADVERTISED,For Profit
1620440,162044002,CITY TREASURER,Dilworth Paxson LLP,Legal Services,Legal Services - TRAN,6/1/2018,5/31/2019,334,0,0,Dilworth Paxson LLP,1,ADVERTISED,For Profit
1420440,142044004,CITY TREASURER,"ECOUNT, INC",General Consultant Services,Paycard Services,6/1/2017,5/31/2018,0,0,0,Citibank N.A.,1,ADVERTISED,For Profit
1520453,152045303,CITY TREASURER,"EConsult Solutions, Inc",General Consultant Services,Lending Studies,12/15/2017,12/14/2018,166,48924,48924,"EConsult Solutions, Inc",1,ADVERTISED,For Profit
1520437,152043703,CITY TREASURER,"Eckert Seamans Cherin & Mellott, LLC",Legal Services,Bond/Disclosure Counsel,12/15/2017,12/14/2018,166,0,0,"Eckert Seamans Cherin & Mellott, LLC",1,ADVERTISED,For Profit
1720650,172065001,CITY TREASURER,"Eckert Seamans Cherin & Mellott, LLC",Legal Services,PGW Bond Counsel,1/1/2018,12/31/2018,183,0,0,"Eckert Seamans Cherin & Mellott, LLC",1,ADVERTISED,For Profit
1520249,152024903,CITY TREASURER,"Frasca & Associates, LLC",General Consultant Services,Airport FA,8/1/2017,7/31/2018,30,50000,0,"Frasca & Associates, LLC",1,ADVERTISED,For Profit
1720655,172065501,CITY TREASURER,"Greenberg Traurig, LLP",Legal Services,Disclosure Counsel Water,1/1/2018,12/31/2018,183,100000,0,"Greenberg Traurig, LLP",1,ADVERTISED,For Profit
1520450,152045003,CITY TREASURER,Hawkins Delafield & Wood LLP,Legal Services,Bond/Disclosure Counsel,12/15/2017,12/14/2018,166,0,0,Hawkins Delafield & Wood LLP,1,ADVERTISED,For Profit
1620520,162052001,CITY TREASURER,Hawkins Delafield & Wood LLP,General Consultant Services,Arbitrage Services,6/15/2017,6/14/2018,0,0,34500,Hawkins Delafield & Wood LLP,1,ADVERTISED,For Profit
1820491,1820491,CITY TREASURER,"Horsey, Buckner & Heffler, LLP",Accounting and Auditing Svcs,Accounting Services,4/15/2018,4/14/2019,287,500000,18205,"Horsey, Buckner & Heffler, LLP",1,ADVERTISED,For Profit
MPXX18000099,MPXX18000099,CITY TREASURER,"ImageMaster, LLC",Miscellaneous Order,Bond Printing Services,7/1/2017,6/30/2018,0,1,0,"ImageMaster, LLC",102,EXEMPT,For Profit
1520343,152034303,CITY TREASURER,Kutak Rock LLP,Legal Services,Bond Counsel - Airport,8/1/2017,7/31/2018,30,75000,26085.82,Kutak Rock LLP,1,ADVERTISED,For Profit
MPXX18000100,MPXX18000100,CITY TREASURER,"McElwes and Quinn, LLC",Miscellaneous Order,Bond Printing Services,7/1/2017,6/30/2018,0,1,0,"McElwes and Quinn, LLC",102,EXEMPT,For Profit
1520342,152034203,CITY TREASURER,Nixon Peabody LLP,Legal Services,Bond Counsel - Airport,8/1/2017,7/31/2018,30,20000,0,Nixon Peabody LLP,1,ADVERTISED,For Profit
1520261,152026103,CITY TREASURER,"PFM Asset Management, LLC",Investment Advisor-Manager,Investment Manager,1/1/2018,12/31/2018,183,0,0,"PFM Asset Management, LLC",1,ADVERTISED,For Profit
1420484,142048405,CITY TREASURER,PFM Financial Advisors LLC,General Consultant Services,PGW FA,1/1/2018,6/30/2018,0,0,0,Public Financial Management Inc,1,ADVERTISED,For Profit
1520250,152025004,CITY TREASURER,PFM Financial Advisors LLC,General Consultant Services,Airport FA,8/1/2017,7/31/2018,30,50000,0,Public Financial Management Inc,1,ADVERTISED,For Profit
1620364,162036403,CITY TREASURER,PFM Financial Advisors LLC,General Consultant Services,Water FA,1/1/2018,12/31/2018,183,150000,0,Public Financial Management Inc,1,ADVERTISED,For Profit
1720216,172021602,CITY TREASURER,PFM Financial Advisors LLC,General Consultant Services,GO FA,8/1/2017,7/31/2018,30,0,0,Public Financial Management Inc,1,ADVERTISED,For Profit
1520430,152043003,CITY TREASURER,"PNC Capital Advisors, LLC",Investment Advisor-Manager,Investment Manager,1/1/2018,12/31/2018,183,0,0,"PNC Capital Advisors, LLC",1,ADVERTISED,For Profit
1420485,142048504,CITY TREASURER,"Phoenix Capital Partners, LLP",General Consultant Services,PGW FA,1/1/2018,6/30/2018,0,0,0,"Phoenix Capital Partners, LLP",1,ADVERTISED,For Profit
1720215,172021501,CITY TREASURER,"Phoenix Capital Partners, LLP",General Consultant Services,Municipal Advisor - GO,8/1/2017,7/31/2018,30,0,0,"Phoenix Capital Partners, LLP",1,ADVERTISED,For Profit
1520257,152025702,CITY TREASURER,"Ramirez Asset Management, Inc.",Investment Advisor-Manager,Investment Manager,6/29/2017,6/28/2018,0,0,0,"Ramirez Asset Management, Inc.",1,ADVERTISED,For Profit
1520257,152025703,CITY TREASURER,"Ramirez Asset Management, Inc.",Investment Advisor-Manager,Investment Manager,6/29/2018,6/28/2019,362,0,0,"Ramirez Asset Management, Inc.",1,ADVERTISED,For Profit
1820372,1820372,CITY TREASURER,"SS&C Technologies, Inc.",Computer and Information Svcs,Debt Mgmt Software Srvc,1/1/2018,12/31/2018,183,45000,33750,"SS&C Technologies, Inc.",1,ADVERTISED,For Profit
1520340,152034003,CITY TREASURER,Saul Ewing LLP,Legal Services,Bond Counsel - Airport,8/1/2017,7/31/2018,30,100000,31713.24,Saul Ewing LLP,1,ADVERTISED,For Profit
1720651,172065101,CITY TREASURER,Saul Ewing LLP,Legal Services,DC PGW (backup),1/1/2018,12/31/2018,183,0,0,Saul Ewing LLP,1,ADVERTISED,For Profit
1620228,162022802,CITY TREASURER,Standish Mellon Asset Management Company LLC,Investment Advisor-Manager,Investment Advisor,11/1/2017,10/31/2018,122,0,0,Standish Mellon Asset Management Company LLC,1,ADVERTISED,For Profit
1720624,172062401,CITY TREASURER,"Swap Financial Group, LLC",General Consultant Services,Swap Advisory Services,1/1/2018,12/31/2018,183,48000,12000,"Swap Financial Group, LLC",1,ADVERTISED,For Profit
1520258,152025803,CITY TREASURER,The Swarthmore Group,Investment Advisor-Manager,Investment Manager,1/1/2018,12/31/2018,183,0,0,The Swarthmore Group,1,ADVERTISED,For Profit
1520339,152033903,CITY TREASURER,"Turner Law, P.C.",Legal Services,Bond Counsel - Airport,8/1/2017,7/31/2018,30,20000,0,"Turner Law, P.C.",1,ADVERTISED,For Profit
1520436,152043603,CITY TREASURER,"Turner Law, P.C.",Legal Services,Bond/Disclosure Counsel,12/15/2017,12/14/2018,166,0,0,"Turner Law, P.C.",1,ADVERTISED,For Profit
1720656,172065601,CITY TREASURER,"Turner Law, P.C.",Legal Services,BC PGW and DC Water,1/1/2018,12/31/2018,183,0,0,"Turner Law, P.C.",1,ADVERTISED,For Profit
1420533,142053303,CITY TREASURER,US Bank National Association,General Consultant Services,Custody - Commer Bank Svc,6/30/2017,6/29/2018,0,0,0,US Bank National Association,1,ADVERTISED,For Profit
1420533,142053304,CITY TREASURER,US Bank National Association,General Consultant Services,Custody - Commer Bank Svc,6/30/2018,6/29/2019,363,0,0,US Bank National Association,1,ADVERTISED,For Profit
1520259,152025903,CITY TREASURER,"Wells Capital Management, Inc",Investment Advisor-Manager,Investment Manager,1/1/2018,12/31/2018,183,0,0,"Wells Capital Management, Inc",1,ADVERTISED,For Profit
1620015,162001504,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,AMENDMENT TWO,7/1/2017,6/30/2018,0,956000,857215.09,"AECOM Technical Services, Inc.",1,ADVERTISED,For Profit
1720006,172000603,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,AMENDMENT TWO,7/1/2017,6/30/2018,0,3500000,1912230.88,"AECOM Technical Services, Inc.",1,ADVERTISED,For Profit
1820177,182017701,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,AMENDMENT ONE-ADD'L FUNDS,10/1/2017,9/30/2018,91,550000,106879.7,"AECOM Technical Services, Inc.",1,ADVERTISED,For Profit
MPXX18000042,MPXX18000042,COMMERCE,ARW Events,Miscellaneous Order,ENTERTAINMENT SERVICES,7/1/2017,6/30/2018,0,31920,31920,ARW Events,102,EXEMPT,For Profit
1520009,152000906,COMMERCE,"AVK Consulting, Inc.",General Consultant Services,AMENDMENT THREE-ADD SUB,7/1/2017,6/30/2018,0,1800000,1702242.3,"AVK Consulting, Inc.",1,ADVERTISED,For Profit
1720418,172041801,COMMERCE,"AVK Consulting, Inc.",General Consultant Services,RENEWAL ONE-TIME&FUNDS,12/1/2017,11/30/2018,152,100000,0,"AVK Consulting, Inc.",1,ADVERTISED,For Profit
1720121,172012101,COMMERCE,African Cultural Alliance of North America,Housing and Economic Dev,Amendment 01,5/1/2017,6/30/2018,0,182886,86182.35,African Cultural Alliance of North America,1,ADVERTISED,Non Profit
MPXX18000057,MPXX18000057,COMMERCE,"All Fitness Events, LLC",Miscellaneous Order,5K RUN/WALK,7/1/2017,6/30/2018,0,14175,14175,"All Fitness Events, LLC",102,EXEMPT,For Profit
1720114,172011401,COMMERCE,Allegheny West Foundation,Housing and Economic Dev,Amendment 01,5/1/2017,6/30/2018,0,80000,44502.21,Allegheny West Foundation,1,ADVERTISED,Non Profit
1820274,1820274,COMMERCE,Altitude Strategies LLC,General Consultant Services,PHL PUBLIC RELATIONS,9/1/2017,8/31/2018,61,100000,57080,Altitude Strategies LLC,1,ADVERTISED,For Profit
MPXX18000091,MPXX18000091,COMMERCE,American Association of Airport Executives,Miscellaneous Order,AAAE Testing,7/14/2017,6/30/2018,0,32000,31900,American Association of Airport Executives,102,EXEMPT,For Profit
MPXX18000300,MPXX18000300,COMMERCE,American Association of Airport Executives,Miscellaneous Order,Airfield Safety Event,1/29/2018,6/30/2018,0,7000,0,American Association of Airport Executives,102,EXEMPT,For Profit
1720319,172031902,COMMERCE,"Atkins North America, Inc.",Architect and Engineer Svcs,RENEWAL ONE-TERM & FUNDS,10/1/2017,9/30/2018,91,1500000,63118.36,"Atkins North America, Inc.",1,ADVERTISED,For Profit
1720777,172077701,COMMERCE,"Atkins North America, Inc.",Architect and Engineer Svcs,AMENDMENT ONE-ADD'L FUNDS,6/1/2017,5/31/2018,0,3750000,1355815.31,"Atkins North America, Inc.",1,ADVERTISED,For Profit
1720777,172077702,COMMERCE,"Atkins North America, Inc.",Architect and Engineer Svcs,RENEWAL TWO,6/1/2018,5/31/2019,334,2350000,0,"Atkins North America, Inc.",1,ADVERTISED,For Profit
MPXX18000053,MPXX18000053,COMMERCE,"Be Films, LLC d/b/a Five Story Media",Miscellaneous Order,VIDEO PRODUCTION,7/1/2017,6/30/2018,0,32000,11550,"Be Films, LLC d/b/a Five Story Media",102,EXEMPT,For Profit
1720588,172058801,COMMERCE,"Borski Associates, LLC",General Consultant Services,RENEWAL ONE-TIME/FUNDS,12/1/2017,11/30/2018,152,120000,0,"Borski Associates, LLC",1,ADVERTISED,For Profit
1720541,172054101,COMMERCE,"Burns Engineering, Inc.",Architect and Engineer Svcs,RENEWAL ONE,1/1/2018,12/31/2018,183,1500000,189891,"Burns Engineering, Inc.",1,ADVERTISED,For Profit
1620016,162001605,COMMERCE,"C&S Engineers, Inc.",Architect and Engineer Svcs,AMEND THREE-ADD SUB,7/1/2016,6/30/2018,0,400000,581646.19,"C&S Engineers, Inc.",1,ADVERTISED,For Profit
