original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,amt,tot_payments,orig_vendor,exempt_status,adv_or_exempt,profit_status
MPXX19000133,MPXX19000133,CITY CONTROLLERS OFFICE,Becker Professional Development Corporation,Miscellaneous Order,Provide CPA Exam Review,7/31/2018,6/30/2019,272,20000,0,Becker Professional Development Corporation,102,EXEMPT,For Profit
1520399,152039903,CITY CONTROLLERS OFFICE,CCH Inc,Computer and Information Svcs,Engagement Maint/Knowledg,3/31/2018,3/30/2019,180,50940.79,0,CCH Inc,1,ADVERTISED,For Profit
MPXX19000091,MPXX19000091,CITY CONTROLLERS OFFICE,CliftonLarsonAllen LLP,Miscellaneous Order,Technical Consulting Serv,7/13/2018,6/30/2019,272,29700,0,CliftonLarsonAllen LLP,102,EXEMPT,For Profit
MPXX19000060,MPXX19000060,CITY CONTROLLERS OFFICE,James J. McNichol,Miscellaneous Order,Perform reviews of audits,7/2/2018,6/30/2019,272,32000,2900,James J. McNichol,102,EXEMPT,For Profit
1720457,172045701,CITY CONTROLLERS OFFICE,LHV Financial Advisors,General Consultant Services,Financial Advisor,10/30/2017,10/29/2018,28,50000,31875,LHV Financial Advisors,1,ADVERTISED,For Profit
MPXX19000059,MPXX19000059,CITY CONTROLLERS OFFICE,"Surgent McCoy, CPE",Miscellaneous Order,Two-day training seminar.,7/2/2018,6/30/2019,272,14286,9985.07,"Surgent McCoy, CPE",102,EXEMPT,Non Profit
MPXX19000187,MPXX19000187,CITY CONTROLLERS OFFICE,YIKES INC,Miscellaneous Order,Website Design & Support,7/1/2018,6/30/2019,272,18788,18788,YIKES INC,102,EXEMPT,For Profit
MPXX19000134,MPXX19000134,CITY COUNCIL,"ABF MudRun, LLC",Miscellaneous Order,Coordinate Philly Play,7/27/2018,6/30/2019,272,17950,17950,"ABF MudRun, LLC",102,EXEMPT,For Profit
MPXX19000108,MPXX19000108,CITY COUNCIL,"Deaf Hearing Communication Centre, Inc",Miscellaneous Order,interpretation services,7/1/2018,6/30/2019,272,32000,738.88,"Deaf Hearing Communication Centre, Inc",102,EXEMPT,Non Profit
MPXX19000182,MPXX19000182,CITY COUNCIL,"EConsult Solutions, Inc",Miscellaneous Order,policy consulting,9/6/2018,6/30/2019,272,34000,0,"EConsult Solutions, Inc",102,EXEMPT,For Profit
MPXX19000117,MPXX19000117,CITY COUNCIL,"ESRI, Inc.",Miscellaneous Order,GIS services,7/1/2018,6/30/2019,272,4540,0,"ESRI, Inc.",102,EXEMPT,For Profit
