original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,amt,tot_payments,orig_vendor,exempt_status,adv_or_exempt,profit_status
2020313,2020313,BOARD OF ETHICS,"LRW Solutions Group, Inc.",General Consultant Services,Campaign Finance Support,9/18/2019,9/17/2020,260,"34,000.00",0.00,"LRW Solutions Group, Inc.",07,EXEMPT,For Profit
MPXX20000028,MPXX20000028,CITY CONTROLLERS OFFICE,CliftonLarsonAllen LLP,Miscellaneous Order,Technical Consultant,7/1/2019,6/30/2020,181,"29,750.00","2,800.00",CliftonLarsonAllen LLP,102,EXEMPT,For Profit
MPXX20000085,MPXX20000085,CITY CONTROLLERS OFFICE,"Desman, Inc..",Miscellaneous Order,Parking Consultant Srvcs.,7/17/2019,6/30/2020,181,"34,000.00",400.00,"Desman, Inc..",102,EXEMPT,For Profit
MPXX20000029,MPXX20000029,CITY CONTROLLERS OFFICE,James J. McNichol,Miscellaneous Order,Quality Control Reviews,7/1/2019,6/30/2020,181,"34,000.00","13,875.00",James J. McNichol,102,EXEMPT,For Profit
1920397,1920397,CITY CONTROLLERS OFFICE,"Mitchell & Titus, LLP",Accounting and Auditing Svcs,Peer Review Audit,11/15/2018,11/14/2019,0,"50,000.00",0.00,"Mitchell & Titus, LLP",01,ADVERTISED,For Profit
1920662,1920662,CITY CONTROLLERS OFFICE,UNITARY,Accounting and Auditing Svcs,Request for auditing serv,6/10/2019,6/9/2020,160,"200,000.00",0.00,UNITARY,01,ADVERTISED,unknown
MPXX20000034,MPXX20000034,CITY CONTROLLERS OFFICE,YIKES INC,Miscellaneous Order,Monitoring & Website Host,7/1/2019,6/30/2020,181,850.00,850.00,YIKES INC,102,EXEMPT,For Profit
MPXX20000153,MPXX20000153,CITY COUNCIL,"Ceisler Media & Issue Advocacy, LLC",Miscellaneous Order,media relations,8/29/2019,6/30/2020,181,"30,000.00","12,500.00","Ceisler Media & Issue Advocacy, LLC",102,EXEMPT,For Profit
MPXX20000108,MPXX20000108,CITY COUNCIL,"Deaf Hearing Communication Centre, Inc",Miscellaneous Order,interpretation services,7/1/2019,6/30/2020,181,"34,000.00","6,727.98","Deaf Hearing Communication Centre, Inc",102,EXEMPT,Non Profit
MPXX20000114,MPXX20000114,CITY COUNCIL,"EConsult Solutions, Inc",Miscellaneous Order,policy research,8/1/2019,6/30/2020,181,"34,000.00","10,000.00","EConsult Solutions, Inc",102,EXEMPT,For Profit
MPXX20000113,MPXX20000113,CITY COUNCIL,Economy League of Greater Philadelphia,Miscellaneous Order,policy research,8/1/2019,6/30/2020,181,"34,000.00",0.00,Economy League of Greater Philadelphia,102,EXEMPT,Non Profit
MPXX20000183,MPXX20000183,CITY COUNCIL,Eric Auerbach,Miscellaneous Order,consulting services,10/1/2019,6/30/2020,181,"34,000.00","3,555.55",Eric Auerbach,102,EXEMPT,For Profit
1820407,182040701,CITY COUNCIL,"Granicus, Inc.",Computer and Information Svcs,legislative tracking,5/1/2019,4/30/2020,120,"32,000.00","55,313.48","Granicus, Inc.",01,ADVERTISED,For Profit
1820442,182044201,CITY COUNCIL,"Hill International, Inc.",General Consultant Services,Rebuild Project Mgr,1/2/2019,1/1/2020,0,0.00,0.00,"Hill International, Inc.",01,ADVERTISED,For Profit
MPXX20000202,MPXX20000202,CITY COUNCIL,Keel Communications & Government Relations LLC,Miscellaneous Order,communication services,7/1/2019,6/30/2020,181,"34,000.00","16,999.98",Keel Communications & Government Relations LLC,102,EXEMPT,For Profit
MPXX20000142,MPXX20000142,CITY COUNCIL,"Kennedy Printing Company, Inc",Miscellaneous Order,newsletter production,7/1/2019,6/30/2020,181,"34,000.00","33,950.00","Kennedy Printing Company, Inc",102,EXEMPT,For Profit
1820224,182022402,CITY COUNCIL,Kimmel Group Inc.,General Consultant Services,desktop support,7/1/2019,6/30/2020,181,"206,000.00","99,487.00",Kimmel Group Inc.,01,ADVERTISED,For Profit
MPXX20000115,MPXX20000115,CITY COUNCIL,"Reinvestment Fund, Inc.",Miscellaneous Order,policy research,8/1/2019,6/30/2020,181,"34,000.00",0.00,"Reinvestment Fund, Inc.",102,EXEMPT,Non Profit
MPXX20000192,MPXX20000192,CITY COUNCIL,Triad Strategies LLC,Miscellaneous Order,state lobbying services,7/1/2019,6/30/2020,181,"30,000.00","15,000.00",Triad Strategies LLC,102,EXEMPT,For Profit
MPXX20000213,MPXX20000213,CITY COUNCIL,"V. Lamar Wilson Associates, Inc.",Miscellaneous Order,policy research,11/5/2019,6/30/2020,181,"34,000.00",0.00,"V. Lamar Wilson Associates, Inc.",102,EXEMPT,For Profit
1820093,182009302,CITY COUNCIL,"WURD Radio, LLC fka LEVAS Communications, LLC",General Consultant Services,broadcast services,8/1/2019,7/31/2020,212,"70,000.00","35,000.00","WURD Radio, LLC fka LEVAS Communications, LLC",01,ADVERTISED,For Profit
1820461,182046102,CITY REPRESENTATIVE,Greater Philadelphia Film Office Inc.,General Consultant Services,Promotion of Film Industr,7/1/2019,6/30/2020,181,"130,944.00","130,944.00",Greater Philadelphia Film Office Inc.,08,EXEMPT,Non Profit
1820460,182046002,CITY REPRESENTATIVE,Historic Philadelphia Inc.,General Consultant Services,Promotion historic distri,7/1/2019,6/30/2020,181,"162,752.00",0.00,Historic Philadelphia Inc.,08,EXEMPT,Non Profit
1720649,172064902,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Bond Counsel - Water/PGW,1/1/2019,12/31/2019,0,0.00,0.00,ANDRE C DASENT P C,01,ADVERTISED,For Profit
1920400,1920400,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Bond Counsel - Airport,1/1/2019,12/31/2019,0,"20,000.00",0.00,ANDRE C DASENT P C,01,ADVERTISED,For Profit
1620362,162036203,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,Water FA,1/1/2019,12/31/2019,0,"100,000.00",0.00,"Acacia Financial Group, Inc.",01,ADVERTISED,For Profit
1720201,172020103,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,GO FA,8/1/2019,7/31/2020,212,0.00,0.00,"Acacia Financial Group, Inc.",01,ADVERTISED,For Profit
1620441,162044103,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Legal Services - TRAN,6/1/2019,5/31/2020,151,0.00,0.00,Ahmad Zaffarese LLC,01,ADVERTISED,For Profit
1720658,172065804,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,BC Water and DC PGW,1/1/2019,12/31/2019,0,"100,000.00","85,000.00",Ahmad Zaffarese LLC,01,ADVERTISED,For Profit
1920423,1920423,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Bond Counsel - GO,1/1/2019,12/31/2019,0,0.00,0.00,Ahmad Zaffarese LLC,01,ADVERTISED,For Profit
1920424,1920424,CITY TREASURER,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",Legal Services,Disclosure Counsel - GO,1/1/2019,12/31/2019,0,0.00,0.00,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",01,ADVERTISED,For Profit
1720643,172064302,CITY TREASURER,Ballard Spahr LLP,Legal Services,Bond Counsel Water,1/1/2019,12/31/2019,0,"200,000.00",0.00,Ballard Spahr LLP,01,ADVERTISED,For Profit
1920427,1920427,CITY TREASURER,Ballard Spahr LLP,Legal Services,Bond Counsel - GO,1/1/2019,12/31/2019,0,0.00,0.00,Ballard Spahr LLP,01,ADVERTISED,For Profit
1820003,182000302,CITY TREASURER,Citizens Bank of Pennsylvania,General Consultant Services,Payroll Banking Services,7/1/2019,6/30/2020,181,0.00,0.00,Citizens Bank of Pennsylvania,01,ADVERTISED,For Profit
1820267,182026702,CITY TREASURER,Citizens Bank of Pennsylvania,General Consultant Services,Pension Banking Services,9/1/2019,8/31/2020,243,0.00,0.00,Citizens Bank of Pennsylvania,01,ADVERTISED,For Profit
1720683,172068302,CITY TREASURER,Cozen O'Connor,Legal Services,DC - Water & PGW,1/1/2019,12/31/2019,0,0.00,0.00,Cozen O'Connor,01,ADVERTISED,For Profit
1920398,1920398,CITY TREASURER,Cozen O'Connor,Legal Services,BC/DC - GO & Airport,1/1/2019,12/31/2019,0,"150,000.00","46,370.00",Cozen O'Connor,01,ADVERTISED,For Profit
1920404,1920404,CITY TREASURER,Digital Assurance Certification,General Consultant Services,Dissemination Agent,1/1/2019,12/31/2019,0,"16,000.00","7,937.50",Digital Assurance Certification,01,ADVERTISED,For Profit
1620440,162044004,CITY TREASURER,Dilworth Paxson LLP,Legal Services,Legal Services - TRAN,6/1/2019,5/31/2020,151,0.00,0.00,Dilworth Paxson LLP,01,ADVERTISED,For Profit
1920333,1920333,CITY TREASURER,"EConsult Solutions, Inc",General Consultant Services,Lending Study Consultant,12/15/2018,12/14/2019,0,"50,269.00","50,269.00","EConsult Solutions, Inc",01,ADVERTISED,For Profit
1720650,172065002,CITY TREASURER,"Eckert Seamans Cherin & Mellott, LLC",Legal Services,PGW Bond Counsel,1/1/2019,12/31/2019,0,0.00,0.00,"Eckert Seamans Cherin & Mellott, LLC",01,ADVERTISED,For Profit
1920426,1920426,CITY TREASURER,"Eckert Seamans Cherin & Mellott, LLC",Legal Services,Disclosure Counsel - GO,1/1/2019,12/31/2019,0,0.00,0.00,"Eckert Seamans Cherin & Mellott, LLC",01,ADVERTISED,For Profit
1920294,192029401,CITY TREASURER,"Frasca & Associates, LLC",General Consultant Services,Airport FA,9/15/2019,9/14/2020,257,"50,000.00",0.00,"Frasca & Associates, LLC",01,ADVERTISED,For Profit
1920258,192025801,CITY TREASURER,"Garcia Hamilton & Associates, L.P.",Investment Advisor-Manager,Investment Manager,10/1/2019,9/30/2020,273,0.00,0.00,"Garcia Hamilton & Associates, L.P.",01,ADVERTISED,For Profit
