original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,amt,tot_payments,orig_vendor,exempt_status,adv_or_exempt,profit_status
1720591,1720591,BOARD-REV OF TAXES,Keystone Appraisal Company,General Consultant Services,Appraisal Consultant,12/5/2016,6/30/2017,0,"60,000.00","10,875.00",Keystone Appraisal Company,01,ADVERTISED,For Profit
MPXX17000232,MPXX17000232,CITY CONTROLLERS OFFICE,BDO USA LLP,Miscellaneous Order,Eval Revenue Gen Control,10/12/2016,6/30/2017,0,"18,750.00","6,525.00",BDO USA LLP,102,EXEMPT,For Profit
MPXX17000233,MPXX17000233,CITY CONTROLLERS OFFICE,BDO USA LLP,Miscellaneous Order,OIT Gen Control Rev,10/12/2016,6/30/2017,0,"27,750.00","18,600.00",BDO USA LLP,102,EXEMPT,For Profit
MPXX17000352,MPXX17000352,CITY CONTROLLERS OFFICE,Becker Professional Development Corporation,Miscellaneous Order,CPE Tracking,3/9/2017,6/30/2017,0,"7,500.00","7,500.00",Becker Professional Development Corporation,102,EXEMPT,For Profit
MPXX17000133,MPXX17000133,CITY CONTROLLERS OFFICE,Carole Buncher & Associates,Miscellaneous Order,Two day Audit Training,8/8/2016,6/30/2017,0,"7,500.00","7,500.00",Carole Buncher & Associates,102,EXEMPT,For Profit
MPXX17000296,MPXX17000296,CITY CONTROLLERS OFFICE,CliftonLarsonAllen LLP,Miscellaneous Order,Tech Consulting Srvs,12/15/2016,6/30/2017,0,"22,050.00","11,640.00",CliftonLarsonAllen LLP,102,EXEMPT,For Profit
MPXX17000161,MPXX17000161,CITY CONTROLLERS OFFICE,James J. McNichol,Miscellaneous Order,Audit Control Reviews,8/25/2016,6/30/2017,0,"31,875.00","23,062.50",James J. McNichol,102,EXEMPT,For Profit
1720457,1720457,CITY CONTROLLERS OFFICE,LHV Financial Advisors,General Consultant Services,Financial Advisor,10/30/2016,10/29/2017,120,"50,000.00","34,000.00",LHV Financial Advisors,01,ADVERTISED,For Profit
1620468,1620468,CITY CONTROLLERS OFFICE,"Mitchell & Titus, LLP",Accounting and Auditing Svcs,Peer Review Audit,6/6/2016,6/5/2017,0,"50,000.00","50,000.00","Mitchell & Titus, LLP",01,ADVERTISED,For Profit
MPXX17000397,MPXX17000397,CITY CONTROLLERS OFFICE,"Mitchell & Titus, LLP",Miscellaneous Order,Quality Control Review,5/16/2017,6/30/2017,0,"25,000.00",0.00,"Mitchell & Titus, LLP",102,EXEMPT,For Profit
1720569,1720569,CITY CONTROLLERS OFFICE,O'Donnell Associates,General Consultant Services,Consultant Services,10/30/2016,10/29/2017,120,"40,000.00","30,810.00",O'Donnell Associates,01,ADVERTISED,For Profit
MPXX17000390,MPXX17000390,CITY CONTROLLERS OFFICE,Thomson Reuters Tax & Accounting Inc.,Miscellaneous Order,CPE Self Study Courses,5/10/2017,6/30/2017,0,"15,747.20",0.00,Thomson Reuters Tax & Accounting Inc.,102,EXEMPT,For Profit
MPXX17000231,MPXX17000231,CITY CONTROLLERS OFFICE,WithumSmith+Brown,Miscellaneous Order,Eval SD Advan system,10/12/2016,6/30/2017,0,"30,500.00","30,500.00",WithumSmith+Brown,102,EXEMPT,For Profit
MPXX17000179,MPXX17000179,CITY COUNCIL,Aaron Finestone,Miscellaneous Order,addressing zoning matters,8/23/2016,6/30/2017,0,"25,000.00","15,566.90",Aaron Finestone,102,EXEMPT,For Profit
MPXX17000258,MPXX17000258,CITY COUNCIL,"Chamberlain, Hrdllicka,  White, Williams & Aughtry",Miscellaneous Order,Analysis of HB1871,10/17/2016,6/30/2017,0,"32,000.00","27,676.00","Chamberlain, Hrdllicka,  White, Williams & Aughtry",102,EXEMPT,For Profit
MPXX17000102,MPXX17000102,CITY COUNCIL,Eric Auerbach,Miscellaneous Order,legislative drafting,7/1/2016,6/30/2017,0,"32,000.00","7,880.00",Eric Auerbach,102,EXEMPT,For Profit
1320781,132078103,CITY COUNCIL,"Granicus, Inc.",Computer and Information Svcs,Legislative software,6/30/2016,6/29/2017,0,"40,000.00","26,821.32","Granicus, Inc.",01,ADVERTISED,For Profit
MPXX17000370,MPXX17000370,CITY COUNCIL,"Gross Communications, LLC",Miscellaneous Order,communications,4/4/2017,6/30/2017,0,"8,250.00","5,500.00","Gross Communications, LLC",102,EXEMPT,For Profit
MPXX17000199,MPXX17000199,CITY COUNCIL,Keel Communications & Government Relations LLC,Miscellaneous Order,communication services,7/1/2016,6/30/2017,0,"30,000.00","27,500.00",Keel Communications & Government Relations LLC,102,EXEMPT,For Profit
MPXX17000219,MPXX17000219,CITY COUNCIL,Triad Strategies LLC,Miscellaneous Order,state lobbying services,7/1/2016,6/30/2017,0,"30,000.00","30,000.00",Triad Strategies LLC,102,EXEMPT,For Profit
MPXX17000359,MPXX17000359,CITY COUNCIL,"WURD Radio, LLC fka LEVAS Communications, LLC",Miscellaneous Order,radio broadcast of mtgs,1/3/2017,6/30/2017,0,"30,000.00","30,000.00","WURD Radio, LLC fka LEVAS Communications, LLC",102,EXEMPT,For Profit
1620151,162015101,CITY PLANNING,Fund For Philadelphia Inc,General Consultant Services,Renewal/Modify Scope,8/24/2016,8/23/2017,53,"75,000.00","74,967.56",Fund For Philadelphia Inc,08,EXEMPT,Non Profit
1620159,162015901,CITY PLANNING,"Whitman, Requardt and Associates, LLP",Architect and Engineer Svcs,Renewal,10/5/2016,10/4/2017,95,0.00,0.00,"Whitman, Requardt and Associates, LLP",01,ADVERTISED,For Profit
1720538,1720538,CITY REPRESENTATIVE,Fund For Philadelphia Inc,General Consultant Services,Special Events Promotion,7/1/2016,6/30/2017,0,"115,500.00",0.00,Fund For Philadelphia Inc,08,EXEMPT,Non Profit
1520338,152033802,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Counsel - Airport,8/1/2016,7/31/2017,30,"20,000.00",0.00,ANDRE C DASENT P C,01,ADVERTISED,For Profit
1720649,1720649,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Bond Counsel Water/PGW,1/1/2017,12/31/2017,183,0.00,0.00,ANDRE C DASENT P C,01,ADVERTISED,For Profit
1620362,162036201,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,Water Financial Advisor,1/1/2017,12/31/2017,183,0.00,0.00,"Acacia Financial Group, Inc.",01,ADVERTISED,For Profit
1720201,1720201,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,Municipal Advisor GO-OTB,8/1/2016,7/31/2017,30,0.00,0.00,"Acacia Financial Group, Inc.",01,ADVERTISED,For Profit
1520434,152043402,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,BC/DC GO/OTB,12/15/2016,12/14/2017,166,0.00,0.00,Ahmad Zaffarese LLC,01,ADVERTISED,For Profit
1620441,1620441,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Legal Services - TRAN,6/1/2016,5/31/2017,0,0.00,0.00,Ahmad Zaffarese LLC,01,ADVERTISED,For Profit
1720658,1720658,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,BC Water and DC PGW,1/1/2017,12/31/2017,183,0.00,0.00,Ahmad Zaffarese LLC,01,ADVERTISED,For Profit
