original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,amt,tot_payments,orig_vendor,exempt_status,adv_or_exempt,profit_status
MPXX18000094,MPXX18000094,CITY CONTROLLERS OFFICE,Becker Professional Development Corporation,Miscellaneous Order,CPA Exam Review,7/18/2017,6/30/2018,91,20000.00,3491.24,Becker Professional Development Corporation,102,EXEMPT,For Profit
MPXX18000195,MPXX18000195,CITY CONTROLLERS OFFICE,Becker Professional Development Corporation,Miscellaneous Order,Prof Ed Audit Seminar,9/6/2017,6/30/2018,91,17300.00,17021.55,Becker Professional Development Corporation,102,EXEMPT,For Profit
1520399,152039902,CITY CONTROLLERS OFFICE,CCH Inc,Computer and Information Svcs,Engagement Maint/Knowledg,3/31/2017,3/30/2018,0,70984.00,65927.50,CCH Inc,01,ADVERTISED,For Profit
MPXX18000069,MPXX18000069,CITY CONTROLLERS OFFICE,CliftonLarsonAllen LLP,Miscellaneous Order,Tech Consult Srvcs.,7/1/2017,6/30/2018,91,29250.00,20036.25,CliftonLarsonAllen LLP,102,EXEMPT,For Profit
MPXX18000122,MPXX18000122,CITY CONTROLLERS OFFICE,James J. McNichol,Miscellaneous Order,Consulting Svrc Fraud/Inv,7/31/2017,6/30/2018,91,10000.00,3400.00,James J. McNichol,102,EXEMPT,For Profit
MPXX18000156,MPXX18000156,CITY CONTROLLERS OFFICE,James J. McNichol,Miscellaneous Order,Independant Audit Review,8/10/2017,6/30/2018,91,32000.00,22250.00,James J. McNichol,102,EXEMPT,For Profit
1720457,172045701,CITY CONTROLLERS OFFICE,LHV Financial Advisors,General Consultant Services,Financial Advisor,10/30/2017,10/29/2018,212,50000.00,31875.00,LHV Financial Advisors,01,ADVERTISED,For Profit
MPXX18000334,MPXX18000334,CITY CONTROLLERS OFFICE,"Mercadien P.C., CPA's",Miscellaneous Order,Audit of Controllers Ofc,3/20/2018,6/30/2018,91,31844.00,0.00,"Mercadien P.C., CPA's",102,EXEMPT,For Profit
MPXX18000329,MPXX18000329,CITY CONTROLLERS OFFICE,YIKES INC,Miscellaneous Order,Website Design Services,3/12/2018,6/30/2018,91,31528.00,0.00,YIKES INC,102,EXEMPT,For Profit
MPXX18000167,MPXX18000167,CITY COUNCIL,"Deaf Hearing Communication Centre, Inc",Miscellaneous Order,interpretation services,7/1/2017,6/30/2018,91,32000.00,13210.94,"Deaf Hearing Communication Centre, Inc",102,EXEMPT,Non Profit
MPXX18000331,MPXX18000331,CITY COUNCIL,"EConsult Solutions, Inc",Miscellaneous Order,consulting services,3/13/2018,6/30/2018,91,32000.00,0.00,"EConsult Solutions, Inc",102,EXEMPT,For Profit
MPXX18000192,MPXX18000192,CITY COUNCIL,"ESRI, Inc.",Miscellaneous Order,GIS services,8/31/2017,6/30/2018,91,10000.00,8760.00,"ESRI, Inc.",102,EXEMPT,For Profit
