Bid_Number,Contract_Number,Contract_Description,Start_Date,End_Date,Contract_Type,Vendor_Name,Department_Name,Contract_Amount,Total_Contract_Months,Remaining_Contract_Months,Total_Transactions
2004,134068,"Concrete Repairs of Intake Structure & Chemical Blding @ Baxter WTP, 9001 State Rd., Phila PA",20130215,,PW,C & T ASSOCIATES INCORPORATED,WATER,"$5,227,100.00",,,173386.57
2005,154061,"General Construction of New Gravity Thickner Facilities at Northeast Water Pollution Control Plant, Phila, PA",20141211,,PW,THOMAS P CARNEY INC,WATER,"$28,438,300.00",,,1284417.9
2009,144089,Diversion of Area Storm Drains from Effluent Outfall Conduit at NE Water Pollution Control Plant,20140314,,PW,CARUSONE CONSTRUCTION INC,WATER,"$1,820,000.00",,,37055.48
2012,144040,"Butterfly Valve Replace&Structural Modifications@Torresdale Pumping St., Phila PA",20131203,,PW,C & H INDUSTRIAL SERVICES INC,WATER,"$2,384,400.00",,,267444
2013,144047,New Secondary Treatment Bypass Conduit at NEWPCP,20131212,,PW,CARUSONE CONSTRUCTION INC,WATER,"$15,894,000.00",,,1045529.1
2014,134128,"Rehab Raw Water Basin Dividing Dike and Pier 264 North @ Baxter Water Treatment Plant, Phila PA",20130726,,PW,A P CONSTRUCTION INCORPORATION,WATER,"$4,536,700.00",,,152631.75
2015,134122,"5KV Switchgear Replace and Backup Generator @ Fox Chase Booster  Plumping Station 400 Lardner St, (Larder/Oakley) Phila. PA",20130719,,PW,PHILIPS BROTHERS ELECTRICAL CONTRACTORS,WATER,"$1,279,425.00",,,276505.45
2021,144048,"New Ferric Chloride Store Tanks @ Baxter Water Plant, Phila PA",20131127,,PW,STONE HILL CONTRACTING CO INC,WATER,"$3,915,000.00",,,162528.36
2023,144050,"Water Main Relay in Lock Street from Main Street to Venice Island & Reconstruc of Lock Street Bridge over the Manayunk Canal, Phila PA",20131126,,PW,BUCKLEY & COMPANY INCORPORATED,WATER,"$2,545,200.00",,,600292.69
2031,144165,"Replacement of the Influent Valves & Actuators @ Queen Lane WTP,",20141030,,PW,FIVE STAR INC,WATER,"$2,218,700.00",,,361523.52
2036,144179,"Repairs to Filtered Water Storage Basins Nos 1, 2 & 7-18 & Monument Road Basin at Belmont WTP, Phila PA",20140930,,PW,J P C GROUP INC,WATER,"$5,079,600.00",,,183930.3
2038,154085,Concrete Retaining Wall Replacement 29th and Cambria Facility HQ.,20150122,,PW,DONATO SPAVENTA & SONS INCORPORATED,WATER,"$600,700.00",,,421003.12
2039,154088,"Replacement of Filter Underdrains and Media Baxter Water Treatment Plant. 9001 State Rd. Phila, PA",20150217,,PW,A P CONSTRUCTION INCORPORATION,WATER,"$3,219,500.00",,,822735
2043,154060,"Plumbing Construction of New Gravity Thickener Facilities at Northeast Water Pollution Control Plant, Phila, PA",20150116,,PW,SURETY MECHANICAL SERVICES,WATER,"$650,000.00",,,95742
2300,154056,"Reconstruction of Sewers and Relay of Water Mains at Various Locations, Phila PA",20141217,,PW,CARUSONE CONSTRUCTION INC,WATER,"$1,931,720.00",,,378848.96
2306,144151,Relay of Water Mains in Bleigh Ave from Oxford Ave to Whitaker Ave,20140804,,PW,SERAVALLI INCORPORATED,WATER,"$743,600.00",,,2250
2318,114126,"Lining Sanitary Sewers w/Resin Impregnated Liner in Various City Streets, Phila PA",20110721,,PW,ALLSTATE POWER VAC INCORPORATED,WATER,"$2,446,200.00",,,340574.99
2339,A14128,CARUSONE CONSTRUCTION INC Bid# 2339,20130716,,PW,CARUSONE CONSTRUCTION INC,WATER,"$120,600.00",,,3000
2346,154137,Relay of Water Mains in Various Locations.,20150601,,PW,"PHILIP PIO CONSTRUCTION, INC.",WATER,"$578,600.00",,,426029.4
2351,124137,"Reconstruction of Sewer/Relay Water Main in Greene St and Tulpehocken St, Phila PA",20120808,,PW,MINISCALCO CONSTRUCTION LLC,WATER,"$1,582,600.00",,,17202.48
2356,144153,"Relay of Water Mains in Boston St from Kensington Ave to Jasper, Hagert & Other Locations.",20141017,,PW,CARUSONE CONSTRUCTION INC,WATER,"$972,520.00",,,488418.17
