Bid_Number,Contract_Number,Contract_Description,Start_Date,End_Date,Contract_Type,Vendor_Name,Department_Name,Contract_Amount,Total_Contract_Months,Total_Transactions
S3YN3200,130329,KIDDE FIRE TRAINERS INC Bid# S3YN3200,20130415,20130415,SSE,KIDDE FIRE TRAINERS INC,FIRE,"$172,500.00",,172500
S3610-08,B20544,XEROX CORPBid # S3610-08,20110804,20130731,SSE,XEROX CORP,SS&E,2506000,36,"$6,299.04"
S4YO823F,140032,Carousel House: Summer Lunch Program,20130701,20130823,SSE,C B M FOOD SERVICES INC,SS&E,30001,,$375.00
S3Z59500,130340,Lumber,20130301,20130831,SSE,TAGUE LUMBER INC,SS&E,82489.78,00,"$1,731.80"
S0Z56070,100129,Overhead Door and Gate Maintenance - Schedule 405,20090901,20130831,SSE,SET RITE CORP,SS&E,2300618,36,"$1,800.00"
00006026,130408,J C B INCBid # 00006026,20130514,20130930,SSE,J C B INC,SS&E,175000,,"$80,035.20"
T0QG8130,A00181,SINGLE POINT SOURCING LLCBid # T0QG8130,20121211,20130930,SSE,SINGLE POINT SOURCING LLC,SS&E,353766,02,"$2,403.35"
T3Z58650,130098,"WATER TREATMENT CHEMICALS, SCH. 60",20121001,20130930,SSE,CARMEUSE LIME INC,SS&E,2139950,,"$4,056.99"
S3Z58650,130119,"WATER TREATMENT CHEMICALS, SCH. 60",20121001,20130930,SSE,TANNER INDUSTRIES INCORPORATED,SS&E,432350,,"$42,157.62"
S3Z58930,130126,"LABORATORY SERVICES-ANALYSIS OF DUST WIPE SAMPLES FOR LEAD, SCH. 950",20121001,20130930,SSE,ENVIRO PROBE INC,SS&E,70000.01,36,$103.80
S0Z56010,100112,REBUILD and REPLACEMENT MOTROCYCLE PARTS TIRE/TUBES - Schedule 36,20091001,20130930,SSE,HARLEY DAVIDSON OF CAMDEN COUNTY,SS&E,271205,36,"$11,109.69"
S0Z56280,100153,Air Conditioner & Icemaker Repairs - Schedule 565,20091001,20130930,SSE,CHARLES W ROMANO CO,SS&E,567035,36,"$1,169.38"
S0XL7410,100193,CLEANING OF ANAEROBIC  DIGESTORS,20091001,20130930,SSE,RIVER ROAD ENVIRONMENTAL INC,SS&E,671975,36,"$28,492.20"
S9Z55650,090399,Plumbing Supplies,20090622,20130930,SSE,FERGUSON ENTERPRISES INC,SS&E,4980000,36,"$44,026.84"
S9YN1620,090388,"Maintenance, Repair and Upgrade to City of Phila, Office of Fleet Management, Fuel Management System",20090601,20130930,SSE,INTERNETWORK SERVICES INC,SS&E,1490000,03,"$27,501.00"
00002819,090191,DELL MARKETING L PBid # 00002819,20080922,20130930,SSE,DELL MARKETING L P,SS&E,12967100,03,"$374,727.00"
00002811,090243,EPLUS TECHNOLOGY INCBid # 00002811,20080701,20130930,SSE,EPLUS TECHNOLOGY INC,SS&E,500000,,$41.10
T1Z56670,110072,,20101101,20131031,SSE,STERLING CORP,SS&E,1375972.25,24,"$4,431.50"
S0Z56180,100167,"Power Lawn Mower Replacement Parts, etc. - Schedule 37",20091101,20131031,SSE,AIRMATIC INC,SS&E,190001,36,$112.64
S9Z55490,A90337,Court Reporting Services,20090501,20131031,SSE,CLASS ACT REPORTING AGENCY LLC,SS&E,85001,00,"$3,938.00"
S9Z55510,090376,Engine Repair and Overhaul/Transmission Rebuild and Exchange,20090401,20131031,SSE,PENN DETROIT DIESEL ALLISON LLC,SS&E,260163.76,33,"$8,108.64"
S3XT6980,130206,ICE RESURFACER ELECTRIC,20121201,20131130,SSE,J & C ICE TECHNOLOGIES INC,SS&E,1062000,,"$330,538.00"
S1Z56760,A10060,RIBBONS EXPRESS INCBid # S1Z56760,20101201,20131130,SSE,RIBBONS EXPRESS INC,SS&E,175001,03,"$137,248.20"
S0Z55950,100105,Long Distance Telephone Service - Schedule 499,20091201,20131130,SSE,BROADVIEW NETWORKS,SS&E,1300000,33,"$20,456.97"
S0Z56210,100154,Chain Saw/Pipe Repair Parts,20091201,20131130,SSE,AIRMATIC INC,SS&E,269230,36,"$1,384.51"
S0Z56160,100159,Repair of Photographic and Audio/Visual Equipment - Schedule 558,20091201,20131130,SSE,AUDIO VIDEO REPAIR INC,SS&E,2559999,36,"$16,233.98"
T0Z55940,100243,Interruptible Transporation Gas Service,20091201,20131130,SSE,HESS CORP,SS&E,27468762.8,36,"$459,324.64"
S0Z55900,100136,DENTAL SUPPLIES - Schedule 150-01,20090901,20131130,SSE,DENTSERVE,SS&E,360771,36,"$6,815.18"
S1Z57230,110282,"Toilet tissue, paper towels & Feminine Hygiene Prods, sch 122",20110501,20131220,SSE,OCUTURE LLC,SS&E,30001,36,"$256,445.24"
S4Z0714F,140018,Groceries,20130701,20131231,SSE,KARETAS FOODS INC,SS&E,164238.42,,"$35,091.54"
S4Z0702F,140020,"Bread, Buns, Cakes & Pies",20130701,20131231,SSE,PECHTERS OF SOUTHERN NEW JERSEY LLC,SS&E,64975,,"$2,669.25"
S4Z0721F,140023,Portioned Controlled Food,20130701,20131231,SSE,KARETAS FOODS INC,SS&E,81783,,"$10,398.50"
S4Z0708F,140025,"Eggs, Cheese and Oleo",20130701,20131231,SSE,KARETAS FOODS INC,SS&E,72015,,"$27,879.84"
S4Z0718F,140026,Poultry,20130701,20131231,SSE,KARETAS FOODS INC,SS&E,148241,,"$32,223.19"
S4Z0717F,140028,Meats,20130701,20131231,SSE,WILLIAM MACMILLAN CO,SS&E,149085.6,,"$41,060.04"
S4Z0722F,140030,Milk,20130701,20131231,SSE,QUALITY SALES & DISTRIBUTION INC,SS&E,153485.17,,"$2,978.31"
T4Z0701F,140073,Cereal,20130701,20131231,SSE,KARETAS FOODS INC,SS&E,30421.65,,"$11,289.90"
V4Z0711F,145001,Frozen Fruit and Vegetables,20130701,20131231,SSE,MIVILA CORP,SS&E,26843.5,00,"$2,381.54"
V4Z0707F,145006,Snacks,20130701,20131231,SSE,KARETAS FOODS INC,SS&E,1805,00,$486.20
V4Z0795F,145008,Juice,20130701,20131231,SSE,KARETAS FOODS INC,SS&E,10674,00,"$1,041.90"
V4Z0706F,145010,Cooked Foods,20130701,20131231,SSE,KARETAS FOODS INC,SS&E,19854.8,00,"$8,165.40"
00003984,130422,EQUIPMENT DEPOT PENNSYLVANIA INCBid # 00003984,20130613,20131231,SSE,EQUIPMENT DEPOT PENNSYLVANIA INC,SS&E,0,,"$62,922.50"
S0Z56290,120310,"Undergarments, Sleepwear, Athletic Apparel & Shoes - Schedule 77-01",20120401,20131231,SSE,THOMASTON CORP,SS&E,63000.01,09,"$31,095.22"
T9YL404L,110099,Rental Service of Floor Mats and Mop Heads,20100801,20131231,SSE,CLEMENS CLEANING VILLAGE INC,SS&E,350001,03,"$5,301.60"
S0Z56330,100194,Photographic Services - Schedule 576,20100101,20131231,SSE,JACKS CAMERAS INC,SS&E,395353.33,36,"$5,290.09"
S0YL5090,100258,Gerber Supplies & Computers WorkStation at Philadelphia International Airport,20100101,20131231,SSE,ADVANTAGE SIGN SUPPLY,SS&E,416483.96,36,"$5,518.64"
00003940,100335,HEWLETT PACKARD COBid # 00003940,20100625,20140101,SSE,HEWLETT PACKARD CO,SS&E,2000000,24,
S0XZ1350,A00143,DECISIVE BUSINESS SYSTEMS ACQUISITION LLBid # S0XZ1350,20131218,20140131,SSE,DECISIVE BUSINESS SYSTEMS ACQUISITION LL,SS&E,800000,03,"$45,098.50"
S3QM5920,130120,TRUNK BAGS FOR POLICE DEPT.,20121101,20140131,SSE,WITMER PUBLIC SAFETY GROUP INC,SS&E,102270,36,
S1Z56660,110223,Automotive Collision Services,20110201,20140131,SSE,AMERICAN COLLISION & AUTOMOTIVE CENTER I,SS&E,1471670,36,"$86,426.07"
S0Z56390,100191,"Mechanical Repair Parts for ""In House"" Use - Schedule 2009-01",20100201,20140131,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,4500000,36,"$229,797.09"
S0Z56410,100197,Mechanical Repair Services - Schedule 2009,20100201,20140131,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,5900000,36,"$320,678.03"
S0Z5638S,100210,ABB Instrumentation Parts (Formerly Fischer & Porter),20100201,20140131,SSE,APPLIED ANALYTICS INC,SS&E,925000,36,"$107,010.44"
T0Z56420,100211,BOTTLED WATER - Schedule 155,20100201,20140131,SSE,NESTLE WATERS NORTH AMERICA INC,SS&E,535001,36,"$21,490.60"
S0XP9620,100259,Rental of Pothole Patchers w/On-Board Global Positioning System,20100201,20140131,SSE,PATCH MANAGEMENT INC,SS&E,818500,36,"$21,787.82"
T0Z56370,100265,Small Equipment Repair Service,20100201,20140131,SSE,INTERLINE BRANDS INC,SS&E,4228080.2,36,"$128,770.66"
S0Z56560,100288,Small Equipment Purchase,20100201,20140131,SSE,ACCOMMODATION MOLLEN INC,SS&E,90000.01,36,"$8,503.58"
S0YC4620,100280,Traffic Signal Equipment,20091101,20140131,SSE,GENERAL HIGHWAY PROD INC,SS&E,4799462,36,"$44,101.28"
00004940,090425,UNITED PARCEL SERVICEBid # 00004940,20090701,20140207,SSE,UNITED PARCEL SERVICE,SS&E,1040000,,"$19,597.85"
S4Z60130,140081,Lumber,20130901,20140228,SSE,AMERICAN FOREST PRODUCTS,SS&E,85711.78,,"$47,447.69"
S3YL4690,130305,ARAMARK UNIFORM & CAREER APPAREL LLCBid # S3YL4690,20130301,20140228,SSE,ARAMARK UNIFORM & CAREER APPAREL LLC,SS&E,53833.89,33,
SOZ56400,100246,Pump Repair Parts:  Schedule 200,20100301,20140228,SSE,J T SEELEY & CO INC,SS&E,604500,36,"$96,878.28"
S0Z56400,A00248,XYLEM WATER SOLUTIONS USA INCBid # S0Z56400,20100301,20140228,SSE,XYLEM WATER SOLUTIONS USA INC,SS&E,150000.01,36,"$97,174.77"
S0Z56260,100152,"Contemporary Office Furniture, Steel;",20091201,20140228,SSE,TRANSAMERICAN OFFICE FURNITURE INC,SS&E,460000,03,"$11,911.16"
S9YL405S,090276,Technical Service & Repair to the Infax System 9  & Hardware & Software for MUFIDS Interface,20090301,20140228,SSE,INFAX INC,SS&E,780520.5,36,"$1,543.75"
S3Z59070,A30357,Asphalt Products,20130401,20140331,SSE,RIVERSIDE MATERIALS INC,SS&E,30001,,"$57,691.79"
S0Z56440,100255,"Receptacles, Trash Cans, Wringer Mops, Buckets, Etc.",20100401,20140331,SSE,ACCOMMODATION MOLLEN INC,SS&E,400001,36,"$10,498.80"
S0Z56470,100268,"Forms, Printed, Index",20100401,20140331,SSE,VANGUARD DIRECT,SS&E,305001,36,
S0Z56350,100295,HVAC Refrigeration Repair Parts,20100401,20140331,SSE,UNITED REFRIGERATION INC,SS&E,1541400,33,"$27,876.23"
S0WV5300,100299,"Skimmer Vessel Management, Operation and Maintenance",20100401,20140331,SSE,KIRBY OFFSHORE MARINE INC,SS&E,1358000,36,"$63,078.94"
S0VW475S,A00267,TELEDYNE INSTRUMENTS INCBid # S0VW475S,20100401,20140331,SSE,TELEDYNE INSTRUMENTS INC,SS&E,70001,36,"$29,321.82"
S0Z56310,100206,Emergency HVAC Repair Services:  Schedulel 439-03,20100101,20140331,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,8930338,36,"$485,511.25"
S0YB0170,100244,"Reagents, Consumables and Hematology Analyzer",20100101,20140331,SSE,BECKMAN COULTER INC,SS&E,364448.57,36,"$26,482.84"
S9XO6980,100172,"FUJI INSTAX 200 INSTANT CAMERA, FUJI INSTAX FILM",20090901,20140331,SSE,LAUBE IMAGING PRODUCTS INC,SS&E,200999,03,"$1,500.00"
S9Z55300,090353,Turf Management - Fairmount;,20090401,20140331,SSE,TOWNSCAPES INC,SS&E,826262,36,
S9Z55770,090356,Turf Management - Recreation,20090401,20140331,SSE,M & M LAWN CARE INC,SS&E,1394881,00,
S2Z58390,120249,Ammunition Sch 109,20120201,20140430,SSE,WITMER PUBLIC SAFETY GROUP INC,SS&E,2320000,12,"$89,103.36"
T0Z56480,100275,"Yale Locks, Closures and Related Items;",20100501,20140430,SSE,INDEPENDENT HARDWARE INC,SS&E,133000,36,"$1,633.53"
S3Z59570,130405,Bituminous Material,20130601,20140531,SSE,RIVERSIDE MATERIALS INC,SS&E,195500,,"$73,085.29"
S2YQ8360,120328,System Maint for Harris (Formerly Erickson) EDACS Radio System and User Equip,20120601,20140531,SSE,TACTICAL PUBLIC SAFETY LLC,SS&E,60001,36,
S1WZ0350,110329,Rodney Hunt Parts,20110601,20140531,SSE,AIRMATIC INC,SS&E,362000,24,
S0Z56360,100297,Roofing Materials,20100601,20140531,SSE,MARVIC SUPPLY CO,SS&E,570563.45,36,$960.78
S0VW477S,100311,Beta-Attenuation Mass Monitor (BAM1020) for Continuous PM 10 Monitoring,20100601,20140531,SSE,MET ONE INSTRUMENTS,SS&E,249475,36,"$22,237.50"
S0QG821S,100321,Remittance System Hardware Maint and Software Support,20100601,20140531,SSE,BURROUGHS INC,SS&E,275105.2,36,
S0VW470S,100324,"Parts and Supplies for Partisol-Plus Model 2025, Sequential Air Sampler PM 2.5 System",20100601,20140531,SSE,THERMO ENVIRONMENTAL INSTRUMENTS INC,SS&E,60000.01,36,
S0OM7680,100320,Manilla & Printed Case Folder,20100517,20140531,SSE,VANGUARD DIRECT,SS&E,99001,36,
00003320,090339,INTERNATIONAL BUSINESS MACHINES CORPBid # 00003320,20090319,20140531,SSE,INTERNATIONAL BUSINESS MACHINES CORP,SS&E,450000,36,
00003260,090294,INTERNATIONAL BUSINESS MACHINES CORPBid # 00003260,20090122,20140531,SSE,INTERNATIONAL BUSINESS MACHINES CORP,SS&E,1310000,36,"$10,554.00"
E-ORDER,140257,BELLA TRUCKING INCBid # E-ORDER,20140211,20140630,SSE,BELLA TRUCKING INC,SS&E,95625,,
E-ORDER,140251,BAY HEAD INVESTMENTS INCBid # E-ORDER,20140201,20140630,SSE,BAY HEAD INVESTMENTS INC,SS&E,50000,03,
E-ORDER,140252,W CAMPBELL SUPPLY CO OF PENNA LLCBid # E-ORDER,20140201,20140630,SSE,W CAMPBELL SUPPLY CO OF PENNA LLC,SS&E,50000,03,
S4Z0114F,140172,Groceries,20140101,20140630,SSE,MIVILA CORP,SS&E,32001,,"$11,518.14"
S4Z0102F,140179,"BREADS, BUNS, CAKES & PIES",20140101,20140630,SSE,PECHTERS OF SOUTHERN NEW JERSEY LLC,SS&E,45026,00,"$4,207.28"
S4Z0122F,140184,MILK,20140101,20140630,SSE,QUALITY SALES & DISTRIBUTION INC,SS&E,145000,00,"$14,371.88"
S4Z0101F,140187,CEREAL,20140101,20140630,SSE,MIVILA CORP,SS&E,32001,00,$423.55
S4Z0118F,140200,Poultry,20140101,20140630,SSE,WILLIAM MACMILLAN CO,SS&E,69110,,"$3,582.08"
S4Z0117F,140208,Meats,20140101,20140630,SSE,WILLIAM MACMILLAN CO,SS&E,72149.4,,$911.62
S4Z0121F,140211,Portion Controlled Foods,20140101,20140630,SSE,MIVILA CORP,SS&E,32001,00,"$14,017.00"
S4Z0108F,140213,"Eggs, Cheese & Oleo",20140101,20140630,SSE,MIVILA CORP,SS&E,39001,00,"$7,162.33"
S4Z0106F,140215,Cooked Foods,20140101,20140630,SSE,MIVILA CORP,SS&E,38961,00,"$4,445.83"
V4Z0111F,145014,FROZEN FRUITS & VEGETABLES,20140101,20140630,SSE,H SCHRIER & CO INC,SS&E,8360.5,00,"$1,206.05"
V4Z0195F,145017,JUICE,20140101,20140630,SSE,WHOLESALE LIQUIDATIONS LLC,SS&E,20322,00,"$2,669.91"
V4Z0107F,145020,SNACKS,20140101,20140630,SSE,KARETAS FOODS INC,SS&E,5877,00,"$1,782.20"
07F0038H,140169,SAFE BOATS INTERNATIONAL LLCBid # 07F0038H,20131021,20140630,SSE,SAFE BOATS INTERNATIONAL LLC,SS&E,528611.65,,
V4Z0715F,145000,Ice Cream,20130701,20140630,SSE,QUALITY SALES & DISTRIBUTION INC,SS&E,5330,00,$407.46
S1YN1680,120220,Fuel Credit Cards,20120101,20140630,SSE,WEX BANK,SS&E,350000,18,"$29,109.49"
S1YK0010,110247,23 Color Copiers,20110401,20140630,SSE,RICOH AMERICAS CORP,SS&E,250817,24,
S1Z56700,110246,"Janitorial Services - OFM, Public Health (AMS Lab) and Various Departments",20110201,20140630,SSE,INDUSTRIAL COMMERCIAL CLEANING GROUP INC,SS&E,516381.92,36,"$39,773.17"
S1YQ1020,110155,Mosquito Control Products,20101101,20140630,SSE,UNIVAR USA INC,SS&E,309595,36,
S1Z5652S,110040,Sanborn Maps,20101001,20140630,SSE,SANBORN MAP CO,SS&E,60001,33,
S1XW920S,110104,"YSI Equipment, Repairs & Parts",20100901,20140630,SSE,Y S I INC,SS&E,400000,36,"$64,632.63"
S1YB475S,110105,Service/Maintenance/Supplies for the Bactec MGIT 960,20100801,20140630,SSE,BECTON DICKINSON & CO,SS&E,290001,36,
S1YL6670,110001,Inspection & Repair of Two Stationary Hydraulic Compactor Systems,20100701,20140630,SSE,ADVANCED HYDRAULIC SYSTEMS INC,SS&E,170001,36,
S1WI1930,110002,"Ice Machine (Zamboni) Maint, Testing & Repairs",20100701,20140630,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,200150,36,$715.17
S1Z56500,110020,Radiation Badge Service,20100701,20140630,SSE,MIRION TECHNOLOGIES (GDS) INC,SS&E,60001,36,$146.50
T1YB4860,110023,Rental of Real Time PCR (HIV-1 & HCV) Analyzer & Reagents,20100701,20140630,SSE,ABBOTT LABORATORIES INC,SS&E,682823,36,
S1YN1710,110063,Windshield Repair Service,20100701,20140630,SSE,I T E I AUTO GLASS,SS&E,75001,36,"$3,635.00"
S1XY872S,110078,Versatile Enterprise Software Support,20100701,20140630,SSE,ZASIO ENTERPRISES INC,SS&E,60000.01,36,
T1WJ7660,110079,Filmmaking,20100701,20140630,SSE,INSTANT COPY & PRINTING CENTER INC,SS&E,95001,36,"$5,122.50"
S1YL5160,110089,Aqueous Film Foaming  Foam Concentrate,20100701,20140630,SSE,CHEMGUARD INC,SS&E,372315,36,
S0YL515S,110093,Maintenance & Repair of IED Terminal Accouncementl Control System,20100701,20140630,SSE,WASHINGTON PROFESSIONAL SYS,SS&E,655750,36,"$2,450.00"
S1YB474S,110103,GC/Chlamydia Automated Analyzer System & Assays,20100701,20140630,SSE,GEN PROBE SALES & SERVICE INC,SS&E,4800618,36,"$99,000.00"
S1XL7490,A10090,RUMSEY ELECTRIC COBid # S1XL7490,20100701,20140630,SSE,RUMSEY ELECTRIC CO,SS&E,105956,36,
S0YL5100,100260,"Boiler Service, Repair & Water Treatment to PHL & NE Airport",20100301,20140630,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,2867260,02,"$30,591.44"
S0Z55980,100173,New And Recycled Toner Cartridges,20090901,20140630,SSE,LASER JET DIRECT,SS&E,3666607.37,03,"$194,712.40"
00003909,090293,DELL MARKETING L PBid # 00003909,20090121,20140630,SSE,DELL MARKETING L P,SS&E,11426733,36,"$1,716,080.43"
S3Z58300,130071,Maintenance and Repair of Belt Conveyors Sch 2003,20120801,20140731,SSE,AIRMATIC INC,SS&E,190900,32,"$16,274.24"
S1YD481S,110024,"Testing, Inspection, Repair of Siemen's Fire Alarm Systems",20100801,20140731,SSE,SIEMENS INDUSTRY INC,SS&E,600161,36,
T0Z56490,110035,Best Locking Systems Maint/Repair  Sch 909-01,20100801,20140731,SSE,STANLEY SECURITY SOLUTIONS INC,SS&E,900825,36,"$29,880.16"
S4Z60440,140256,Lumber,20140301,20140831,SSE,TAGUE LUMBER INC,SS&E,246661.7,03,
