Bid_Number,Contract_Number,Contract_Description,Start_Date,End_Date,Contract_Type,Vendor_Name,Department_Name,Max_Value,Total_Contract_Months,Remaining_Contract_Months,SumOfTransactionAmt
00009408,120355,TRANSAMERICAN OFFICE FURNITURE INC      Bid # 00009408,20120618,20150430,,TRANSAMERICAN OFFICE FURNITURE INC      ,SS&E,"$2,000,000.00",  ,,"$101,030.41"
00009413,130122,HUMANSCALE CORP                         Bid # 00009413,20120919,20150430,,HUMANSCALE CORP                         ,SS&E,"$450,000.00",  ,,"$4,443.50"
00009635,120356,TRANSAMERICAN OFFICE FURNITURE INC      Bid # 00009635,20120618,20150531,,TRANSAMERICAN OFFICE FURNITURE INC      ,SS&E,"$2,728,000.00",  ,,"$71,570.67"
00011350,140292,U S MUNICIPAL SUPPLY CO                 Bid # 00011350,20140505,20150531,,U S MUNICIPAL SUPPLY CO                 ,SS&E,"$1,000,000.00",18,,
00011357,140300,BANDIT INDUSTRIES INC                   Bid # 00011357,20140521,20150531,,BANDIT INDUSTRIES INC                   ,SS&E,"$200,000.00",  ,,
00011413,140301,ALTEC INDUSTRIES INC                    Bid # 00011413,20140521,20150531,,ALTEC INDUSTRIES INC                    ,SS&E,"$800,000.00",  ,,
00011420,140289,CLEVELAND BROTHERS EQUIPMENT CO         Bid # 00011420,20140422,20150422,,CLEVELAND BROTHERS EQUIPMENT CO         ,SS&E,"$400,000.00",36,,
00011426,140302,EAGLE POWER & EQUIPMENT CORP            Bid # 00011426,20140521,20150531,,EAGLE POWER & EQUIPMENT CORP            ,SS&E,"$332,000.00",  ,,
00011431,140290,GROFF TRACTOR & EQUIPMENT INC           Bid # 00011431,20140422,20150422,,GROFF TRACTOR & EQUIPMENT INC           ,SS&E,"$1,000,000.00",36,,
00011459,140291,U S MUNICIPAL SUPPLY CO                 Bid # 00011459,20140422,20150422,,U S MUNICIPAL SUPPLY CO                 ,SS&E,"$2,000,000.00",36,,
000358-1,130181,EN POINTE TECHNOLOGIES                  Bid # 000358-1,20130101,20150602,,EN POINTE TECHNOLOGIES                  ,SS&E,"$1,000,000.00",36,,"$21,372.03"
000358-2,130089,INSIGHT PUBLIC SECTOR INC               Bid # 000358-2,20120920,20150602,,INSIGHT PUBLIC SECTOR INC               ,SS&E,"$1,500,000.00",36,,"$6,112.93"
000358-3,130180,S H I INTERNATIONAL CORP                Bid # 000358-3,20130101,20150602,,S H I INTERNATIONAL CORP                ,SS&E,"$2,463,769.00",36,,"$1,111,364.49"
031210NJ,120152,STAPLES CONTRACT & COMMERCIAL INC       Bid # 031210NJ,20110701,20150531,,STAPLES CONTRACT & COMMERCIAL INC       ,SS&E,"$5,940,000.00",24,,"$321,439.97"
10402225,140163,GRAYBAR ELECTRIC CO INC                 Bid # 10402225,20131008,20141231,,GRAYBAR ELECTRIC CO INC                 ,SS&E,"$908,000.00",  ,,"$167,046.20"
111309CD,140193,C D W GOVERNMENT INC                    Bid # 111309CD,20131201,20141215,,C D W GOVERNMENT INC                    ,SS&E,"$500,000.00",  ,,
2004,134068,"Concrete Repairs of Intake Structure & Chemical Blding @ Baxter WTP, 9001 State Rd., Phila PA",20130215,,PW,C & T ASSOCIATES INCORPORATED,WATER,"$5,227,100.00",,,519498.71
2006,134069,"Replace of Tide Gate in Effluent Diversion Control Conduit at Southwest Water Pollution Control Plant, 8200 Enterprise Ave., Phila PA",20130226,,PW,G M H ASSOCIATES OF AMERICA INC,WATER,"$88,660.00",,,4707.97
2011,134123,"New Pervious  Paving  For Parking Lot at SouthWest Treatment Plant, Phila PA (Federally Funded)",20130719,,PW,TONY DEPAUL AND SON,WATER,"$788,550.00",,,608817
2014,134128,"Rehab Raw Water Basin Dividing Dike and Pier 264 North @ Baxter Water Treatment Plant, Phila PA",20130726,,PW,A P CONSTRUCTION COMPANY,WATER,"$4,536,700.00",,,562576.5
2015,134122,"5KV Switchgear Replace and Backup Generator @ Fox Chase Booster  Plumping Station 400 Lardner St, (Larder/Oakley) Phila. PA",20130719,,PW,PHILIPS BROTHERS ELECTRICAL CONTRACTORS,WATER,"$1,279,425.00",,,70299.9
2016,134114,"Polyurethane Elastometric Silicone Renewal/Recoat Roofing System at NorthEast Water Pollution Control Plant, 3895 Richmond St, Phila PA",20130726,,PW,WEST ROOFING SYSTEMS INC,WATER,"$548,900.00",,,341145
2171,A04010,PETRONGOLO CONTRACTORS INCORPORATED Bid# 2171,20111220,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$94,000.00",,,4160.61
22113LTS,140107,PLAYPOWER LT FARMINGTON INC             Bid # 22113LTS,20130423,20150423,,PLAYPOWER LT FARMINGTON INC             ,SS&E,"$1,200,000.00",36,,"$145,953.60"
2310,134007,"Reconstruction of Sewer & Relay of Water Mains at Various Locations. Phila, PA",20120914,,PW,CARUSONE CONSTRUCTION INC,WATER,"$1,979,520.00",,,236970.15
2312R,134041,"Trenchless Sewer Lining Rehabilitation of Sewers @ Various City Locations, Phila. PA",20130111,,PW,ALLSTATE POWER VAC INCORPORATED,WATER,"$1,250,410.00",,,325346.76
2315,134012,"Lining of the Sanitary Sewers with Resin Impregnated Liner at Various Locations. Phila, PA",20121003,,PW,ALLSTATE POWER VAC INCORPORATED,WATER,"$1,063,400.00",,,258180.14
2319,124054,"Relay of Water Mains in Sepviva and Tioga Sts,  Phila, PA",20111110,,PW,NELLO CONSTRUCTION COMPANY INCORPORATED,WATER,"$1,310,000.00",,,1000
2340,134081,NELLO CONSTRUCTION COMPANY INCORPORATED Bid# 2340,20130419,,PW,NELLO CONSTRUCTION COMPANY INCORPORATED,WATER,"$1,588,830.00",,,832921.98
2342,134079,J P C GROUP INC Bid# 2342,20130401,,PW,J P C GROUP INC,WATER,"$1,057,350.00",,,15205.8
2351,124137,"Reconstruction of Sewer/Relay Water Main in Greene St and Tulpehocken St, Phila PA",20120808,,PW,MINISCALCO CONSTRUCTION LLC,WATER,"$1,582,600.00",,,42895.16
2353,C34005,"PHILIP PIO CONSTRUCTION, INC. Bid# 2353",20131216,,PW,"PHILIP PIO CONSTRUCTION, INC.",WATER,"$130,000.00",,,128898.13
2367,134102,"Relay of Water Mains at Various Locations, Phila PA",20130625,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$1,048,590.00",,,51414.94
2368,124015,"Relay of Water Mains for Various Locations in City of Phila,  Phila. PA",20110927,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$1,087,900.00",,,18726.68
2372,124138,"Reconst of Sewer & Relay of Water Mains In Various City Streets, Phila PA",20120723,,PW,NELLO CONSTRUCTION COMPANY INCORPORATED,WATER,"$3,027,300.00",,,249761.14
2374,134100,Reconstruct Sewers and Relay áWater Mains in 22nd St á& 27th St (South St to Bainbridge St) and Reconstruct Sewers in Kater St (21st to 22nd and 22nd to Grays Ferry Ave) Phila. PA,20130626,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$1,291,600.00",,,143304.88
2379,134098,"Reconst. of Sewers & Relay of Water Mains at Various Locations, Phila PA",20130626,,PW,CARUSONE CONSTRUCTION INC,WATER,"$2,614,500.00",,,872279.36
2380,134078,NELLO CONSTRUCTION COMPANY INCORPORATED Bid# 2380,20130419,,PW,NELLO CONSTRUCTION COMPANY INCORPORATED,WATER,"$1,347,800.00",,,279338.25
2385,124052,"Installation of East Park Valve Chambers @ East Park Reservoir on 33rd St, Phila PA",20111027,,PW,C & T ASSOCIATES INCORPORATED,WATER,"$1,090,100.00",,,11213.11
2392,134043,"Reconstruct Sewer, Relay Water Main, & Sewer Linings in Various City Sts, Phila PA",20130111,,PW,CARUSONE CONSTRUCTION INC,WATER,"$2,911,890.00",,,362519.51
2394,134076,PETRONGOLO CONTRACTORS INCORPORATED Bid# 2394,20130419,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$2,006,640.00",,,87490.99
2501,144038,"Relay of Water Mains at Various Locations, Phila PA",20131015,,PW,"PHILIP PIO CONSTRUCTION, INC.",WATER,"$1,365,000.00",,,570762.14
2506R,134042,"Reconstruction of Sewers, Relay Water Mains, and/or Line Sewer with Resin Impregnated Liner In Various City Sts. Phila. PA",20121129,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$2,014,980.00",,,139841.55
2523,124159,Green Infrastructure Projects at Various Locations.  Phila PA (Federally Funded),20120807,,PW,SERAVALLI INCORPORATED,WATER,"$574,200.00",,,3666.67
2528,134004,Reconstruction of Sewer & Relay of Water Mains at Various Locations. Phila PA,20120914,,PW,MINISCALCO CONSTRUCTION LLC,WATER,"$1,748,570.00",,,94392.94
2530,134035,"Green Infrastruct Projects at Various Locations, Phila PA (Fed Funded)",20121109,,PW,DONATO SPAVENTA & SONS INCORPORATED,WATER,"$978,020.00",,,35094.93
2531,134034,"Construction of Green Infrastructure in Various City Locations, Phila. PA  (Federally Funded)",20121109,,PW,A P CONSTRUCTION COMPANY,WATER,"$1,272,600.00",,,60752.5
2532,A34003,SERAVALLI INCORPORATED Bid# 2532,20130827,,PW,SERAVALLI INCORPORATED,WATER,"$775,000.00",,,47250
2533,134047,"Reconstruct of Sewers & Relay Water Main in Glen St, Reconstruct Sewers in Sussex Ln, Chesterfield St, and Wessex Lane, Phila PA",20121130,,PW,MINISCALCO CONSTRUCTION LLC,WATER,"$1,061,200.00",,,64102.83
2535,134033,"Construction of Green Infrastructure in Blue Bell Triangle (Cobbs Creek Parkway, Island Ave & Woodland Ave) Phila. PA  (Federally Funded)",20121123,,PW,J P C GROUP INC,WATER,"$297,000.00",,,256500
2536,134031,"Green Infrastruct Projects at Various Locations, Phila PA (Fed Funded)",20121109,,PW,MINISCALCO CONSTRUCTION LLC,WATER,"$1,059,450.00",,,182047.03
2537,134044,"Reconstruct Sewer & Relay Water Main in Rittenhouse Street, Phila PA",20121207,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$2,583,000.00",,,536812.31
2543,134032,"Construction of Green Infrastructure in Various City Locations, Phila. PA  (Federally Funded)",20121114,,PW,A P CONSTRUCTION COMPANY,WATER,"$1,875,300.00",,,122797
2546,134062,"Construct of Green Infrastructure at Various Locations, Phila PA (Fed Funded)",20130122,,PW,CARUSONE CONSTRUCTION INC,WATER,"$1,184,930.00",,,29452.99
2549,134061,"Construct of Green Infrastructure at Various Locations, Phila PA (Fed Funded)",20130129,,PW,RAMOS AND ASSOCIATES INCORPORATED,WATER,"$638,960.00",,,116269.92
2566,134059,"Construction of Green Infrastructure in Various City Locations, Phila PA (Federally Funded)",20130123,,PW,SERAVALLI INCORPORATED,WATER,"$1,348,200.00",,,14000
2571,134129,"Relay of Water Mains in Clapier St from Wissahickon Ave to Morris, Morris from Seymour St to Abbottsford Ave. Phila, PA",20130819,,PW,SERAVALLI INCORPORATED,WATER,"$1,377,600.00",,,109459
2572,134080,SERAVALLI INCORPORATED Bid# 2572,20130314,,PW,SERAVALLI INCORPORATED,WATER,"$2,046,770.00",,,404137.41
2576,134133,"Cathodic Protection of Underground Piping in Torresdale Filtered Water Pumping Station, Phila PA",20130814,,PW,MINISCALCO CONSTRUCTION LLC,WATER,"$250,300.00",,,192441.5
2579ELB,134090,CARUSONE CONSTRUCTION INC Bid# 2579ELB,20130424,,PW,CARUSONE CONSTRUCTION INC,WATER,"$1,780,460.00",,,267537.67
2582,144034,Reconstruct of Sewers & Relay of Water Mains in Walnut Park Drive From Claremont Road to Fariston Drive. Phila. PA,20131016,,PW,J P C GROUP INC,WATER,"$676,500.00",,,434456.01
2588,144057,Water Main Relay in Holme Ave,20131126,,PW,SERAVALLI INCORPORATED,WATER,"$849,200.00",,,528194.58
2812,124129,"Replace Sludge Pump Grinder & Sump Pump@Southeast Water Pollution Control Plant Phila, PA",20120611,,PW,C & T ASSOCIATES INCORPORATED,WATER,"$874,720.00",,,43589.02
2813,124133,"Replace Sludge Pump Grinder & Sump Pump @ Southeast Water Pollution Control Plant Phila, PA",20120723,,PW,NUCERO ELECTRICAL CONSTRUCTION COMPANY,WATER,"$623,700.00",,,76456.93
2814,134011,"Rehab of Receiving Terminal at Biosolids Recycling Ctr., 7800 Penrose Ferry Rd. Phila, PA",20120914,,PW,QUAD CONSTRUCTION CO,WATER,"$2,494,600.00",,,93426.09
2836,A94114,J P C GROUP INC Bid# 2836,20130926,,PW,J P C GROUP INC,WATER,"$680,000.00",,,460137.02
2840,134037,"Improvements to Belmont Raw Water Basin at Belmont WTP, Belmont Ave & Ford Rd, Philadelphia, PA",20121123,,PW,J P C GROUP INC,WATER,"$19,476,000.00",,,274320
2851,124070,"Demolition of Old Digestion Tanks at Northeast Water Pollution Control Plant, 3899 Richmond St.  Phila. PA  (GCON)",20120113,,PW,A P CONSTRUCTION COMPANY,WATER,"$6,158,250.00",,,398145
2865,124134,Electrical System Replacement & New Generator at Belmont Water Treatment Plant. Phila PA,20120627,,PW,PHILIPS BROTHERS ELECTRICAL CONTRACTORS,WATER,"$5,544,500.00",,,832651.03
2873,124127,"Installation of Isolation Valves and Replacement of the Backwash Valves @ Baxter Water Treat Plant, State Road, Phila PA",20120611,,PW,C & T ASSOCIATES INCORPORATED,WATER,"$3,136,000.00",,,675931.62
2874,114139,"Manayunk Sewer Basin Construction & Venice Island Recreation Center Reconstruction Projects, Phila PA",20110722,,PW,DANIEL J KEATING COMPANY,WATER,"$39,970,400.00",,,1673102.95
2875,114140,"Electrical- Manayunk Sewer Basin Construct & Venice Island Rec Ctr Reconstruct Project Phila, PA",20110826,,PW,RIGGS DISTLER & CO INC,WATER,"$4,514,000.00",,,730990.23
2876,114137,"Plumbing- Manayunk Sewer Basin Construct & Venice Island Rec Ctr Reconstruct Project Phila, PA",20110727,,PW,FIVE STAR INC,WATER,"$304,700.00",,,111572.28
2877,114138,"HVAC- Manayunk Sewer Basin Construction & Venice Island Rec Ctr Reconst Project Phila, PA",20110727,,PW,FIVE STAR INC,WATER,"$2,095,800.00",,,448086.5
2883,124077,"Replace Air Handler #2 & 3 @ Bureau of Laboratory Services, Phila PA",20120106,,PW,LOR-MAR MECHANICAL SERVICES INC,WATER,"$553,000.00",,,19911.6
2887,134067,ANTHONY BIDDLE CONTRACTORS INC Bid# 2887,20130304,,PW,ANTHONY BIDDLE CONTRACTORS INC,WATER,"$2,602,300.00",,,917654.4
