Bid_Number,Contract_Number,Contract_Description,Start_Date,End_Date,Contract_Type,Vendor_Name,Department_Name,Contract_Amount,Total_Contract_Months,Remaining_Contract_Months,Total_Transactions
T5Z60980,150249,Recycling of Lamps and Fluorescent Lamp Ballasts,20150626,20160626,SSE,A E R C COM INC,SS&E,32000.01,24,24,
NASP1862,150246,FASTENAL CO Bid # NASP1862,20150622,20160621,SSE,FASTENAL CO,SS&E,32000.01,08,08,
00011688,150235,PINNACLE INTEGRATED SYSTEMS INC Bid # 00011688,20150605,20160605,SSE,PINNACLE INTEGRATED SYSTEMS INC,SS&E,500000,16,16,
S5Z60990,150201,Lumber,20150601,20151130,SSE,TAGUE LUMBER INC,SS&E,78470.98,03,03,
S5IT0010,150219,P C SPECIALISTS INC Bid # S5IT0010,20150601,20160531,SSE,P C SPECIALISTS INC,SS&E,2500000,36,36,
S5YC478S,150218,Split Base for C-Post,20150601,20160531,SSE,IMAGE COMPONENTS INC,SS&E,99356.2,36,36,
S5YL6920,150226,SWEEP Officer Uniforms and Accessories,20150601,20160531,SSE,AMERICAN UNIFORM SALES INC,SS&E,44621.05,36,36,
S5Z60800,150228,Janitorial Supplies,20150601,20160531,SSE,SOUTH JERSEY PAPER PRODUCTS,SS&E,162620.64,33,33,
S5Z61190,150217,Auto Collision Services,20150601,20160531,SSE,ROCCOS COLLISION CENTERS,SS&E,468360,30,30,
S5Z6123M,150244,Ballistic Vests,20150601,20160531,SSE,ATLANTIC TACTICAL INC,SS&E,341341.6,36,36,
T5Z61120,150232,Rental of Passenger Vehicles,20150601,20160531,SSE,VEHICLE LEASING ASSOCIATES LLC,SS&E,152013,35,35,
4218GCON,A34088,MILESTONE CONSTRUCTION MANAGEMENT INC Bid# 4218GCON,20150528,,PW,MILESTONE CONSTRUCTION MANAGEMENT INC,PRISONS,"$96,832.49",,,102194.49
4025GCON,E34054,"PANNULLA CONSTRUCTION CO., INC. Bid# 4025GCON",20150527,,PW,"PANNULLA CONSTRUCTION CO., INC.",RECREATION,$50.00,,,27223.33
