Bid_Number,Contract_Number,Contract_Description,Start_Date,End_Date,Contract_Type,Vendor_Name,Department_Name,Contract_Amount,Total_Contract_Months,Remaining_Contract_Months,Total_Transactions
00001839,140109,SAFEWARE INC Bid # 00001839,20130901,20150831,SSE,SAFEWARE INC,SS&E,500000,36,36,"$37,901.57"
2004,134068,"Concrete Repairs of Intake Structure & Chemical Blding @ Baxter WTP, 9001 State Rd., Phila PA",20130215,,PW,C & T ASSOCIATES INCORPORATED,WATER,"$5,227,100.00",,,129450.8
2009,144089,Diversion of Area Storm Drains from Effluent Outfall Conduit at NE Water Pollution Control Plant,20140314,,PW,CARUSONE CONSTRUCTION INC,WATER,"$1,820,000.00",,,235159.8
2013,144047,New Secondary Treatment Bypass Conduit at NEWPCP,20131212,,PW,CARUSONE CONSTRUCTION INC,WATER,"$15,894,000.00",,,2480475.6
2014,134128,"Rehab Raw Water Basin Dividing Dike and Pier 264 North @ Baxter Water Treatment Plant, Phila PA",20130726,,PW,A P CONSTRUCTION INCORPORATION,WATER,"$4,536,700.00",,,269888.35
2016,134114,"Polyurethane Elastometric Silicone Renewal/Recoat Roofing System at NorthEast Water Pollution Control Plant, 3895 Richmond St, Phila PA",20130726,,PW,WEST ROOFING SYSTEMS INC,WATER,"$548,900.00",,,196800
2020,144062,"Replace of Channel Aeration Sys @ SouthWest Plant, 8200 Enterprise Ave,",20131126,,PW,SPECTRASERV INCORPORATED,WATER,"$2,086,350.00",,,62254.17
2021,144048,"New Ferric Chloride Store Tanks @ Baxter Water Plant, Phila PA",20131127,,PW,STONE HILL CONTRACTING CO INC,WATER,"$3,915,000.00",,,1150718.42
2023,144050,"Water Main Relay in Lock Street from Main Street to Venice Island & Reconstruc of Lock Street Bridge over the Manayunk Canal, Phila PA",20131126,,PW,BUCKLEY & COMPANY INCORPORATED,WATER,"$2,545,200.00",,,358744.99
2036,144179,"Repairs to Filtered Water Storage Basins Nos 1, 2 & 7-18 & Monument Road Basin at Belmont WTP, Phila PA",20140930,,PW,J P C GROUP INC,WATER,"$5,079,600.00",,,134773.2
2037,B44168,WEST ROOFING SYSTEMS INC Bid# 2037,20141030,,PW,WEST ROOFING SYSTEMS INC,WATER,"$796,000.00",,,607534.5
2306,144151,Relay of Water Mains in Bleigh Ave from Oxford Ave to Whitaker Ave,20140804,,PW,SERAVALLI INCORPORATED,WATER,"$743,600.00",,,59419.92
2310,134007,"Reconstruction of Sewer & Relay of Water Mains at Various Locations. Phila, PA",20120914,,PW,CARUSONE CONSTRUCTION INC,WATER,"$1,979,520.00",,,60396.14
2333,A44039,"PHILIP PIO CONSTRUCTION, INC. Bid# 2333",20150106,,PW,"PHILIP PIO CONSTRUCTION, INC.",WATER,"$180,000.00",,,180334.09
2340,134081,"Reconstruct of Sewers & Relay of Water Mains @ Various Locations, Phila PA",20130419,,PW,NELLO CONSTRUCTION COMPANY INCORPORATED,WATER,"$1,588,830.00",,,21436.53
2372,124138,"Reconst of Sewer & Relay of Water Mains In Various City Streets, Phila PA",20120723,,PW,NELLO CONSTRUCTION COMPANY INCORPORATED,WATER,"$3,027,300.00",,,50313.54
2380,134078,Relay of Water Mains in Various City Locations. Phila PA,20130419,,PW,NELLO CONSTRUCTION COMPANY INCORPORATED,WATER,"$1,347,800.00",,,10475
2381,134096,"Reconst. of Sewers & Relay of Water Mains at Various Locations, Phila PA",20130626,,PW,RAMOS AND ASSOCIATES INCORPORATED,WATER,"$3,160,530.00",,,417060.89
2383,A24146,BRIGHTLINE CONSTRUCTION INC Bid# 2383,20141014,,PW,BRIGHTLINE CONSTRUCTION INC,WATER,"$20,300.00",,,20525.68
2392,134043,"Reconstruct Sewer, Relay Water Main, & Sewer Linings in Various City Sts, Phila PA",20130111,,PW,CARUSONE CONSTRUCTION INC,WATER,"$2,911,890.00",,,80714.37
2393,144096,"Reconstruction of Sewers and Relays of Water Mains in Various Locations, Phila PA",20140314,,PW,NELLO CONSTRUCTION COMPANY INCORPORATED,WATER,"$2,620,171.00",,,546095.94
2395,144086,"Relay of Water Mains in Various Locations,",20140401,,PW,"PHILIP PIO CONSTRUCTION, INC.",WATER,"$1,068,330.00",,,7289.58
2396,144155,"Relay of Water Mains in Moyamensing Ave from 9th St-12th, W. Ritner from 7th-11th St",20140917,,PW,SERAVALLI INCORPORATED,WATER,"$1,215,375.00",,,757008.92
